CD_NOM,GROUPTAXA,NOM_VALIDE
115350,Angiospermes,Potamogeton x gessnacensis
115352,Angiospermes,Potamogeton x griffithii
115353,Angiospermes,Potamogeton x grovesii
115355,Angiospermes,Potamogeton x innominatus
115356,Angiospermes,Potamogeton x lanceolatifolius
115357,Angiospermes,Potamogeton x lanceolatus
115358,Angiospermes,Potamogeton x lintonii
115360,Angiospermes,Potamogeton x lundii
115361,Angiospermes,Potamogeton x nericius
115362,Angiospermes,Potamogeton x nerviger
115363,Angiospermes,Potamogeton x nitens
115365,Angiospermes,Potamogeton x olivaceus
115366,Angiospermes,Potamogeton x prussicus
115367,Angiospermes,Potamogeton x pseudofriesii
115368,Angiospermes,Potamogeton x pusilliformis
115369,Angiospermes,Potamogeton x ripensis
115308,Angiospermes,Potamogeton x rivularis
115371,Angiospermes,Potamogeton x salicifolius
115372,Angiospermes,Potamogeton x schreberi
115374,Angiospermes,Potamogeton x sparganiifolius
115376,Angiospermes,Potamogeton x spathulatus
115378,Angiospermes,Potamogeton x sudermannicus
115381,Angiospermes,Potamogeton x undulatus
115382,Angiospermes,Potamogeton x variifolius
115384,Angiospermes,Potamogeton x zizii
115270,Angiospermes,Potamogeton lucens
115280,Angiospermes,Potamogeton natans
115282,Angiospermes,Potamogeton nodosus
115286,Angiospermes,Potamogeton obtusifolius
115296,Angiospermes,Potamogeton perfoliatus
115301,Angiospermes,Potamogeton polygonifolius
115302,Angiospermes,Potamogeton praelongus
115305,Angiospermes,Potamogeton pusillus
115310,Angiospermes,Potamogeton rutilus
717857,Angiospermes,Potamogeton schweinfurthii
115326,Angiospermes,Potamogeton trichoides
715628,Angiospermes,Stuckenia
717572,Angiospermes,Stuckenia filiformis
719165,Angiospermes,Stuckenia x suecica
717574,Angiospermes,Stuckenia pectinata
199116,Angiospermes,Zannichellia
130592,Angiospermes,Zannichellia contorta
130598,Angiospermes,Zannichellia obtusifolia
130599,Angiospermes,Zannichellia palustris
130601,Angiospermes,Zannichellia pedunculata
130602,Angiospermes,Zannichellia peltata
197290,Angiospermes,Ruppia
119688,Angiospermes,Ruppia cirrhosa
119690,Angiospermes,Ruppia drepanensis
119691,Angiospermes,Ruppia maritima
197440,Angiospermes,Scheuchzeria
121500,Angiospermes,Scheuchzeria palustris
198483,Angiospermes,Tofieldia
126798,Angiospermes,Tofieldia calyculata
126809,Angiospermes,Tofieldia x hybrida
126806,Angiospermes,Tofieldia pusilla
672353,Angiospermes,Amborella
672892,Angiospermes,Amborella trichopoda
189149,Mousses,Andreaea
6825,Mousses,Andreaea alpestris
6824,Mousses,Andreaea alpina
6827,Mousses,Andreaea blyttii
6828,Mousses,Andreaea crassinervia
6830,Mousses,Andreaea frigida
6831,Mousses,Andreaea heinemannii
434529,Mousses,Andreaea heinemannii subsp. heinemannii
913632,Mousses,Andreaea hookeri
433966,Mousses,Andreaea mutabilis
6832,Mousses,Andreaea nivalis
6833,Mousses,Andreaea rothii
434531,Mousses,Andreaea rothii subsp. rothii
434530,Mousses,Andreaea rothii subsp. falcata
6834,Mousses,Andreaea rupestris
434533,Mousses,Andreaea rupestris var. rupestris
434532,Mousses,Andreaea rupestris var. papillosa
189240,Hépatiques et Anthocérotes,Anthoceros
6809,Hépatiques et Anthocérotes,Anthoceros agrestis
7990,Hépatiques et Anthocérotes,Anthoceros punctatus
656503,Hépatiques et Anthocérotes,Anthoceros rosulans
606843,Angiospermes,Aciphylla
610605,Angiospermes,Aciphylla aurea
610606,Angiospermes,Aciphylla colensoi
610603,Angiospermes,Aciphylla scott-thomsonii
610604,Angiospermes,Aciphylla squarrosa
194853,Angiospermes,Molopospermum
108739,Angiospermes,Molopospermum peloponnesiacum
137873,Angiospermes,Molopospermum peloponnesiacum subsp. peloponnesiacum
189048,Angiospermes,Ammi
82130,Angiospermes,Ammi majus
189163,Angiospermes,Anethum
82692,Angiospermes,Anethum graveolens
612391,Angiospermes,Anethum graveolens subsp. graveolens
189335,Angiospermes,Apium
83195,Angiospermes,Apium graveolens
192597,Angiospermes,Foeniculum
98756,Angiospermes,Foeniculum vulgare
134696,Angiospermes,Foeniculum vulgare subsp. vulgare
134694,Angiospermes,Foeniculum vulgare subsp. piperitum
195083,Angiospermes,Naufraga
109455,Angiospermes,Naufraga balearica
196015,Angiospermes,Petroselinum
112821,Angiospermes,Petroselinum crispum
612611,Angiospermes,Petroselinum crispum subsp. crispum
612612,Angiospermes,Petroselinum crispum subsp. tuberosum
197227,Angiospermes,Ridolfia
117820,Angiospermes,Ridolfia segetum
606997,Angiospermes,Stoibrax
611359,Angiospermes,Stoibrax dichotomum
198917,Angiospermes,Visnaga
129910,Angiospermes,Visnaga daucoides
190120,Angiospermes,Bupleurum
87016,Angiospermes,Bupleurum affine
87020,Angiospermes,Bupleurum alpigenum
87021,Angiospermes,Bupleurum angulosum
613472,Angiospermes,Bupleurum angulosum var. angulosum
613473,Angiospermes,Bupleurum angulosum var. alpinum
87027,Angiospermes,Bupleurum baldense
87037,Angiospermes,Bupleurum corsicum
87044,Angiospermes,Bupleurum falcatum
610522,Angiospermes,Bupleurum fruticescens
87051,Angiospermes,Bupleurum fruticosum
87053,Angiospermes,Bupleurum gerardi
160252,Angiospermes,Bupleurum gibraltarium
717109,Angiospermes,Bupleurum glumaceum
87065,Angiospermes,Bupleurum lancifolium
87068,Angiospermes,Bupleurum longifolium
132350,Angiospermes,Bupleurum longifolium subsp. longifolium
610838,Angiospermes,Bupleurum nipponicum
87074,Angiospermes,Bupleurum odontites
87082,Angiospermes,Bupleurum petraeum
87085,Angiospermes,Bupleurum praealtum
610839,Angiospermes,Bupleurum ranunculoides subsp. ranunculoides x Bupleurum ranunculoides subsp. telonense
87091,Angiospermes,Bupleurum ranunculoides
132356,Angiospermes,Bupleurum ranunculoides subsp. ranunculoides
613679,Angiospermes,Bupleurum ranunculoides var. ranunculoides
144859,Angiospermes,Bupleurum ranunculoides var. gramineum
132357,Angiospermes,Bupleurum ranunculoides subsp. telonense
87093,Angiospermes,Bupleurum rigidum
132358,Angiospermes,Bupleurum rigidum subsp. rigidum
87095,Angiospermes,Bupleurum rotundifolium
87098,Angiospermes,Bupleurum semicompositum
717110,Angiospermes,Bupleurum spinosum
87100,Angiospermes,Bupleurum stellatum
87102,Angiospermes,Bupleurum subovatum
87106,Angiospermes,Bupleurum tenuissimum
160519,Angiospermes,Bupleurum virgatum
610609,Angiospermes,Aegokeras caespitosa
188841,Angiospermes,Aegopodium
80322,Angiospermes,Aegopodium podagraria
190376,Angiospermes,Carum
89250,Angiospermes,Carum carvi
192518,Angiospermes,Falcaria
