LEVEL,LB_CODE,LB_HAB_FR,CD_HAB,EUNIS
A,A,Habitats marins,79,A-Habitats marins
A,A1,Roche et autres substrats durs intertidaux,579,A1-Roche et autres substrats durs intertidaux
A,A1.1,Roche intertidale sous fort hydrodynamisme,1591,A1.1-Roche intertidale sous fort hydrodynamisme
A,A1.11,Biocénoses à moules et/ou à balanes,4664,A1.11-Biocénoses à moules et/ou à balanes
A,A1.111,<em>Mytilus edulis</em> et balanes sur roche médiolittorale très exposée,10326,A1.111-<em>Mytilus edulis</em> et balanes sur roche médiolittorale très exposée
A,A1.112,<em>Chthamalus</em> spp. sur roche exposée du médiolittoral supérieur,10327,A1.112-<em>Chthamalus</em> spp. sur roche exposée du médiolittoral supérieur
A,A1.1121,<em>Chthamalus montagui</em> et <em>Chthamalus stellatus</em> sur roche exposée du médiolittoral supérieur,17356,A1.1121-<em>Chthamalus montagui</em> et <em>Chthamalus stellatus</em> sur roche exposée du médiolittoral supérieur
A,A1.1122,<em>Chthamalus</em> spp. et <em>Lichina pygmaea</em> sur roche escarpée et exposée du médiolittoral supérieur,17357,A1.1122-<em>Chthamalus</em> spp. et <em>Lichina pygmaea</em> sur roche escarpée et exposée du médiolittoral supérieur
A,A1.113,<em>Semibalanus balanoides</em> sur roche exposée à modérément exposée ou sur paroi rocheuse verticale abritée médiolittorale,10328,A1.113-<em>Semibalanus balanoides</em> sur roche exposée à modérément exposée ou sur paroi rocheuse verticale abritée médiolittorale
A,A1.1131,"<em>Semibalanus balanoides</em>, <em>Patella vulgata</em> et <em>Littorina</em> spp. sur roche exposée à modérément exposée ou sur paroi rocheuse verticale abritée médiolittorale",17358,"A1.1131-<em>Semibalanus balanoides</em>, <em>Patella vulgata</em> et <em>Littorina</em> spp. sur roche exposée à modérément exposée ou sur paroi rocheuse verticale abritée médiolittorale"
A,A1.1132,"<em>Semibalanus balanoides</em>, <em>Fucus vesiculosus</em> et algues rouges sur roche médiolittorale exposée à modérément exposée",17359,"A1.1132-<em>Semibalanus balanoides</em>, <em>Fucus vesiculosus</em> et algues rouges sur roche médiolittorale exposée à modérément exposée"
A,A1.1133,<em>Semibalanus balanoides</em> et <em>Littorina</em> spp. sur blocs et galets médiolittoraux exposés à modérément exposés,17360,A1.1133-<em>Semibalanus balanoides</em> et <em>Littorina</em> spp. sur blocs et galets médiolittoraux exposés à modérément exposés
A,A1.12,Biocénoses à fucales et/ou à algues rouges résistantes,4665,A1.12-Biocénoses à fucales et/ou à algues rouges résistantes
A,A1.121,<em>Fucus distichus</em> et <em>Fucus spiralis</em> sur roche extrêmement exposée du médiolittoral supérieur,10324,A1.121-<em>Fucus distichus</em> et <em>Fucus spiralis</em> sur roche extrêmement exposée du médiolittoral supérieur
A,A1.122,<em>Corallina officinalis</em> sur roche exposée à modérément exposée du médiolittoral inférieur,10325,A1.122-<em>Corallina officinalis</em> sur roche exposée à modérément exposée du médiolittoral inférieur
A,A1.1221,<em>Corallina officinalis</em> et <em>Mastocarpus stellatus</em> sur roche exposée à modérément exposée du médiolittoral inférieur,17354,A1.1221-<em>Corallina officinalis</em> et <em>Mastocarpus stellatus</em> sur roche exposée à modérément exposée du médiolittoral inférieur
A,A1.1222,"<em>Corallina officinalis</em>, <em>Himanthalia elongata</em> et <em>Patella ulyssiponensis</em> sur roche très exposée du médiolittoral inférieur",17355,"A1.1222-<em>Corallina officinalis</em>, <em>Himanthalia elongata</em> et <em>Patella ulyssiponensis</em> sur roche très exposée du médiolittoral inférieur"
A,A1.123,<em>Himanthalia elongata</em> et algues rouges sur roche exposée du médiolittoral inférieur,10336,A1.123-<em>Himanthalia elongata</em> et algues rouges sur roche exposée du médiolittoral inférieur
A,A1.124,<em>Palmaria palmata</em> sur roche modérément à très exposée du médiolittoral inférieur,10337,A1.124-<em>Palmaria palmata</em> sur roche modérément à très exposée du médiolittoral inférieur
A,A1.125,<em>Mastocarpus stellatus</em> et <em>Chondrus crispus</em> sur roche modérément à très exposée du médiolittoral inférieur,10338,A1.125-<em>Mastocarpus stellatus</em> et <em>Chondrus crispus</em> sur roche modérément à très exposée du médiolittoral inférieur
A,A1.126,<em>Osmundea pinnatifida</em> sur roche modérément exposée du médiolittoral moyen,10339,A1.126-<em>Osmundea pinnatifida</em> sur roche modérément exposée du médiolittoral moyen
A,A1.127,<em>Ceramium</em> sp. et pholades sur tourbe médiolittorale fossilisée,10340,A1.127-<em>Ceramium</em> sp. et pholades sur tourbe médiolittorale fossilisée
A,A1.13,Biocénoses de la roche médiolittorale supérieure de Méditerranée et de la mer Noire,4667,A1.13-Biocénoses de la roche médiolittorale supérieure de Méditerranée et de la mer Noire
A,A1.131,Association à <em>Bangia atropurpurea</em>,10341,A1.131-Association à <em>Bangia atropurpurea</em>
A,A1.132,Association à <em>Pyropia leucosticta</em> (anciennement <em>Porphyra leucosticta</em>),10342,A1.132-Association à <em>Pyropia leucosticta</em> (anciennement <em>Porphyra leucosticta</em>)
A,A1.133,Association à <em>Nemalion helminthoides</em> et <em>Rissoella verruculosa</em>,10343,A1.133-Association à <em>Nemalion helminthoides</em> et <em>Rissoella verruculosa</em>
A,A1.134,Association à <em>Lithophyllum papillosum</em> et <em>Polysiphonia</em> spp.,10344,A1.134-Association à <em>Lithophyllum papillosum</em> et <em>Polysiphonia</em> spp.
A,A1.14,Biocénoses de la roche médiolittorale inférieure très exposée à l'action des vagues de Méditerranée et de la mer Noire,4668,A1.14-Biocénoses de la roche médiolittorale inférieure très exposée à l'action des vagues de Méditerranée et de la mer Noire
A,A1.141,Association à <em>Lithophyllum byssoides</em>,10345,A1.141-Association à <em>Lithophyllum byssoides</em>
A,A1.145,Faciès à <em>Mytilus galloprovincialis</em> en présence d'eaux modérément polluées,10349,A1.145-Faciès à <em>Mytilus galloprovincialis</em> en présence d'eaux modérément polluées
A,A1.15,Fucales soumises aux courants de marée,4669,A1.15-Fucales soumises aux courants de marée
A,A1.151,"<em>Ascophyllum nodosum</em>, éponges et ascidies sur roche du médiolittoral moyen soumise aux courants de marée",10350,"A1.151-<em>Ascophyllum nodosum</em>, éponges et ascidies sur roche du médiolittoral moyen soumise aux courants de marée"
A,A1.152,"<em>Fucus serratus</em>, éponges et ascidies sur roche soumise aux courants de marée du médiolittoral inférieur",10351,"A1.152-<em>Fucus serratus</em>, éponges et ascidies sur roche soumise aux courants de marée du médiolittoral inférieur"
A,A1.153,"<em>Fucus serratus</em> avec éponges, ascidies et algues rouges sur substrat hétérogène du médiolittoral inférieur soumis aux courants de marée",10329,"A1.153-<em>Fucus serratus</em> avec éponges, ascidies et algues rouges sur substrat hétérogène du médiolittoral inférieur soumis aux courants de marée"
A,A1.2,Roche intertidale sous hydrodynamisme modéré,1592,A1.2-Roche intertidale sous hydrodynamisme modéré
A,A1.21,Balanes et fucales sur rivages modérément exposés,4672,A1.21-Balanes et fucales sur rivages modérément exposés
A,A1.211,<em>Pelvetia canaliculata</em> et balanes sur roche modérément exposée de la frange littorale,10358,A1.211-<em>Pelvetia canaliculata</em> et balanes sur roche modérément exposée de la frange littorale
A,A1.212,<em>Fucus spiralis</em> sur roche du médiolittoral supérieur exposée à modérément exposée en milieu marin,10359,A1.212-<em>Fucus spiralis</em> sur roche du médiolittoral supérieur exposée à modérément exposée en milieu marin
A,A1.213,Mosaïque de <em>Fucus vesiculosus</em> et de balanes sur roche du médiolittoral moyen modérément exposée,10360,A1.213-Mosaïque de <em>Fucus vesiculosus</em> et de balanes sur roche du médiolittoral moyen modérément exposée
A,A1.214,<em>Fucus serratus</em> sur roche du médiolittoral inférieur modérément exposée,10361,A1.214-<em>Fucus serratus</em> sur roche du médiolittoral inférieur modérément exposée
A,A1.2141,<em>Fucus serratus</em> et algues rouges sur roche du médiolittoral inférieur modérément exposée,17361,A1.2141-<em>Fucus serratus</em> et algues rouges sur roche du médiolittoral inférieur modérément exposée
A,A1.2142,<em>Fucus serratus</em> et faune sous blocs du médiolittoral inférieur exposés à modérément exposés,17362,A1.2142-<em>Fucus serratus</em> et faune sous blocs du médiolittoral inférieur exposés à modérément exposés
A,A1.2143,<em>Fucus serratus</em> et pholades sur roche tendre du médiolittoral inférieur,17363,A1.2143-<em>Fucus serratus</em> et pholades sur roche tendre du médiolittoral inférieur
A,A1.215,<em>Rhodothamniella floridula</em> sur roche du médiolittoral inférieur abrasée par le sable,10362,A1.215-<em>Rhodothamniella floridula</em> sur roche du médiolittoral inférieur abrasée par le sable
A,A1.22,Moules et fucales sur rivages modérément exposés,4670,A1.22-Moules et fucales sur rivages modérément exposés
A,A1.221,<em>Mytilus edulis</em> et <em>Fucus vesiculosus</em> sur roche du médiolittoral moyen modérément exposée,10352,A1.221-<em>Mytilus edulis</em> et <em>Fucus vesiculosus</em> sur roche du médiolittoral moyen modérément exposée
A,A1.222,"<em>Mytilus edulis</em>, <em>Fucus serratus</em> et algues rouges sur roche du médiolittoral inférieur modérément exposée",10353,"A1.222-<em>Mytilus edulis</em>, <em>Fucus serratus</em> et algues rouges sur roche du médiolittoral inférieur modérément exposée"
A,A1.223,<em>Mytilus edulis</em> et pholades sur argile consolidée du médiolittoral,10354,A1.223-<em>Mytilus edulis</em> et pholades sur argile consolidée du médiolittoral
A,A1.23,Biocénoses de la roche médiolittorale inférieure exposée à l'action des vagues de Méditerranée et de la mer Noire,4671,A1.23-Biocénoses de la roche médiolittorale inférieure exposée à l'action des vagues de Méditerranée et de la mer Noire
A,A1.231,Association à <em>Ceramium ciliatum</em> et <em>Corallina elongata</em>,10355,A1.231-Association à <em>Ceramium ciliatum</em> et <em>Corallina elongata</em>
A,A1.232,Concrétion de <em>Neogoniolithon brassica-florida</em>,10356,A1.232-Concrétion de <em>Neogoniolithon brassica-florida</em>
A,A1.233,Association à <em>Gelidium</em> spp,10357,A1.233-Association à <em>Gelidium</em> spp
A,A1.234,Cuvettes et lagunes parfois associées aux vermets (enclave infralittorale),10363,A1.234-Cuvettes et lagunes parfois associées aux vermets (enclave infralittorale)
A,A1.3,Roche intertidale sous faible hydrodynamisme,1593,A1.3-Roche intertidale sous faible hydrodynamisme
A,A1.31,Fucales sur rivages marins abrités,4674,A1.31-Fucales sur rivages marins abrités
A,A1.311,<em>Pelvetia canaliculata</em> sur roche abritée de la frange littorale,10367,A1.311-<em>Pelvetia canaliculata</em> sur roche abritée de la frange littorale
A,A1.312,<em>Fucus spiralis</em> sur roche abritée du médiolittoral supérieur,10368,A1.312-<em>Fucus spiralis</em> sur roche abritée du médiolittoral supérieur
A,A1.3121,<em>Fucus spiralis</em> sur roche abritée du médiolittoral supérieur en milieu marin,17365,A1.3121-<em>Fucus spiralis</em> sur roche abritée du médiolittoral supérieur en milieu marin
A,A1.3122,<em>Fucus spiralis</em> sur substrat hétérogène du médiolittoral supérieur en milieu marin,17366,A1.3122-<em>Fucus spiralis</em> sur substrat hétérogène du médiolittoral supérieur en milieu marin
A,A1.313,<em>Fucus vesiculosus</em> sur roche abritée à modérément exposée du médiolittoral moyen,10369,A1.313-<em>Fucus vesiculosus</em> sur roche abritée à modérément exposée du médiolittoral moyen
A,A1.3131,<em>Fucus vesiculosus</em> sur roche abritée à modérément exposée du médiolittoral moyen en milieu marin,17367,A1.3131-<em>Fucus vesiculosus</em> sur roche abritée à modérément exposée du médiolittoral moyen en milieu marin
A,A1.3132,<em>Fucus vesiculosus</em> sur substrat hétérogène du médiolittoral moyen,17368,A1.3132-<em>Fucus vesiculosus</em> sur substrat hétérogène du médiolittoral moyen
A,A1.314,<em>Ascophyllum nodosum</em> sur roche très abritée du médiolittoral moyen,10370,A1.314-<em>Ascophyllum nodosum</em> sur roche très abritée du médiolittoral moyen
A,A1.3141,<em>Ascophyllum nodosum</em> sur roche du médiolittoral moyen en milieu marin,17364,A1.3141-<em>Ascophyllum nodosum</em> sur roche du médiolittoral moyen en milieu marin
A,A1.3142,<em>Ascophyllum nodosum</em> sur substrat hétérogène du médiolittoral moyen en milieu marin,17369,A1.3142-<em>Ascophyllum nodosum</em> sur substrat hétérogène du médiolittoral moyen en milieu marin
A,A1.315,<em>Fucus serratus</em> sur roche abritée du médiolittoral inférieur,10372,A1.315-<em>Fucus serratus</em> sur roche abritée du médiolittoral inférieur
A,A1.3151,<em>Fucus serratus</em> sur roche abritée du médiolittoral inférieur en milieu marin,17370,A1.3151-<em>Fucus serratus</em> sur roche abritée du médiolittoral inférieur en milieu marin
A,A1.3152,<em>Fucus serratus</em> sur substrat hétérogène du médiolittoral inférieur en milieu marin,17371,A1.3152-<em>Fucus serratus</em> sur substrat hétérogène du médiolittoral inférieur en milieu marin
A,A1.316,Association à <em>Fucus virsoides</em>,10373,A1.316-Association à <em>Fucus virsoides</em>
A,A1.32,Fucales en milieu à salinité variable,4677,A1.32-Fucales en milieu à salinité variable
A,A1.321,<em>Pelvetia canaliculata</em> sur roche abritée de la frange littorale en milieu à salinité variable,10374,A1.321-<em>Pelvetia canaliculata</em> sur roche abritée de la frange littorale en milieu à salinité variable
A,A1.322,<em>Fucus spiralis</em> sur roche abritée du médiolittoral supérieur en milieu à salinité variable,10375,A1.322-<em>Fucus spiralis</em> sur roche abritée du médiolittoral supérieur en milieu à salinité variable
A,A1.323,<em>Fucus vesiculosus</em> sur blocs et substrat hétérogène stable du médiolittoral moyen en milieu à salinité variable,10376,A1.323-<em>Fucus vesiculosus</em> sur blocs et substrat hétérogène stable du médiolittoral moyen en milieu à salinité variable
A,A1.324,<em>Ascophyllum nodosum</em> et <em>Fucus vesiculosus</em> sur roche du médiolittoral moyen en milieu à salinité variable,10377,A1.324-<em>Ascophyllum nodosum</em> et <em>Fucus vesiculosus</em> sur roche du médiolittoral moyen en milieu à salinité variable
A,A1.325,Champs de <em>Ascophyllum nodosum</em> ecad. <em>mackaii</em> sur substrat hétérogène extrêmement abrité du médiolittoral moyen,10378,A1.325-Champs de <em>Ascophyllum nodosum</em> ecad. <em>mackaii</em> sur substrat hétérogène extrêmement abrité du médiolittoral moyen
A,A1.326,<em>Fucus serratus</em> et <em>Mytilus edulis</em> de grande taille sur roche du médiolittoral inférieur en milieu à salinité variable,10379,A1.326-<em>Fucus serratus</em> et <em>Mytilus edulis</em> de grande taille sur roche du médiolittoral inférieur en milieu à salinité variable
A,A1.327,<em>Fucus ceranoides</em> sur roche médiolittorale en milieu à salinité réduite,10380,A1.327-<em>Fucus ceranoides</em> sur roche médiolittorale en milieu à salinité réduite
A,A1.33,"Tapis d'algues rouges du médiolittoral inférieur, abritées de l'action des vagues",4678,"A1.33-Tapis d'algues rouges du médiolittoral inférieur, abritées de l'action des vagues"
A,A1.34,Biocénoses de la roche médiolittorale inférieure abritée de l'action des vagues de Méditerranée et de la mer Noire,4675,A1.34-Biocénoses de la roche médiolittorale inférieure abritée de l'action des vagues de Méditerranée et de la mer Noire
A,A1.341,Association à <em>Ulva compressa</em>,10371,A1.341-Association à <em>Ulva compressa</em>
A,A1.4,Habitats rocheux intertidaux particuliers,1594,A1.4-Habitats rocheux intertidaux particuliers
A,A1.41,Biocénoses des cuvettes rocheuses intertidales,4676,A1.41-Biocénoses des cuvettes rocheuses intertidales
A,A1.411,Cuvettes médiolittorales peu profondes dominées par des encroûtements de corallinales,10381,A1.411-Cuvettes médiolittorales peu profondes dominées par des encroûtements de corallinales
A,A1.4111,Encroûtements de corallinales et <em>Corallina officinalis</em> des cuvettes médiolittorales peu profondes,17372,A1.4111-Encroûtements de corallinales et <em>Corallina officinalis</em> des cuvettes médiolittorales peu profondes
A,A1.4112,Encroûtements de corallinales et <em>Paracentrotus lividus</em> des cuvettes médiolittorales peu profondes,17373,A1.4112-Encroûtements de corallinales et <em>Paracentrotus lividus</em> des cuvettes médiolittorales peu profondes
A,A1.4113,<em>Bifurcaria bifurcata</em> des cuvettes médiolittorales peu profondes,17374,A1.4113-<em>Bifurcaria bifurcata</em> des cuvettes médiolittorales peu profondes
A,A1.4114,<em>Cystoseira</em> spp. des cuvettes médiolittorales,17375,A1.4114-<em>Cystoseira</em> spp. des cuvettes médiolittorales
A,A1.412,Fucales et laminaires des cuvettes médiolittorales profondes,10382,A1.412-Fucales et laminaires des cuvettes médiolittorales profondes
A,A1.4121,<em>Sargassum muticum</em> des cuvettes médiolittorales,17376,A1.4121-<em>Sargassum muticum</em> des cuvettes médiolittorales
A,A1.413,Algues des cuvettes médiolittorales à fond meuble,10383,A1.413-Algues des cuvettes médiolittorales à fond meuble
A,A1.414,"Hydraires, algues éphémères et <em>Littorina littorea</em> des cuvettes médiolittorales peu profondes à substrat hétérogène",10384,"A1.414-Hydraires, algues éphémères et <em>Littorina littorea</em> des cuvettes médiolittorales peu profondes à substrat hétérogène"
A,A1.42,Biocénoses des cuvettes supralittorales,4680,A1.42-Biocénoses des cuvettes supralittorales
A,A1.421,Algues vertes (<em>Ulva</em> (anciennement <em>Enteromorpha</em>) spp. et <em>Cladophora</em> spp.) des cuvettes peu profondes de la partie supérieure du rivage,10386,A1.421-Algues vertes (<em>Ulva</em> (anciennement <em>Enteromorpha</em>) spp. et <em>Cladophora</em> spp.) des cuvettes peu profondes de la partie supérieure du rivage
A,A1.44,Biocénoses des grottes et surplombs intertidaux,4679,A1.44-Biocénoses des grottes et surplombs intertidaux
A,A1.441,Chrysophycées et haptophycées sur roche tendre des falaises de la frange littorale supérieure,10401,A1.441-Chrysophycées et haptophycées sur roche tendre des falaises de la frange littorale supérieure
A,A1.442,Pellicules d'algues vertes sur parois et plafond des grottes de l'intertidal moyen,10402,A1.442-Pellicules d'algues vertes sur parois et plafond des grottes de l'intertidal moyen
A,A1.443,Encroûtements de <em>Rhodochorton purpureum</em> et de <em>Pleurocladia lacustris</em> sur parois et plafond des grottes de l'intertidal moyen,10403,A1.443-Encroûtements de <em>Rhodochorton purpureum</em> et de <em>Pleurocladia lacustris</em> sur parois et plafond des grottes de l'intertidal moyen
A,A1.444,<em>Rhodochorton purpureum</em> et <em>Cladophora rupestris</em> sur parois des grottes de l'intertidal moyen,10404,A1.444-<em>Rhodochorton purpureum</em> et <em>Cladophora rupestris</em> sur parois des grottes de l'intertidal moyen
A,A1.445,<em>Wahlenbergiana mucosa</em> (anciennement <em>Verrucaria mucosa</em>) et/ou <em>Hildenbrandia rubra</em> des parois des grottes de l'intertidal moyen,10405,A1.445-<em>Wahlenbergiana mucosa</em> (anciennement <em>Verrucaria mucosa</em>) et/ou <em>Hildenbrandia rubra</em> des parois des grottes de l'intertidal moyen
A,A1.446,Éponges et algues rouges tolérantes à l'ombre sur surplombs rocheux du médiolittoral inférieur et en entrée des grottes,10406,A1.446-Éponges et algues rouges tolérantes à l'ombre sur surplombs rocheux du médiolittoral inférieur et en entrée des grottes
A,A1.4461,"Éponges, algues rouges tolérantes à l'ombre et <em>Dendrodoa grossularia</em> des surplombs rocheux et des grottes battues par les vagues du médiolittoral inférieur",17377,"A1.4461-Éponges, algues rouges tolérantes à l'ombre et <em>Dendrodoa grossularia</em> des surplombs rocheux et des grottes battues par les vagues du médiolittoral inférieur"
A,A1.447,"Éponges, bryozoaires et ascidies des importants surplombs rocheux ou des grottes de la partie inférieure du rivage",10407,"A1.447-Éponges, bryozoaires et ascidies des importants surplombs rocheux ou des grottes de la partie inférieure du rivage"
A,A1.448,Faune encroûtante des parois des grottes intertidales battues par les vagues,10408,A1.448-Faune encroûtante des parois des grottes intertidales battues par les vagues
A,A1.449,Faune clairsemée (balanes et spirorbes) sur roche abrasée par le sable ou par des cailloutis des grottes intertidales,10409,A1.449-Faune clairsemée (balanes et spirorbes) sur roche abrasée par le sable ou par des cailloutis des grottes intertidales
A,A1.44A,Parois et sols stériles et/ou érodés (par des blocs) des grottes intertidales,10410,A1.44A-Parois et sols stériles et/ou érodés (par des blocs) des grottes intertidales
A,A1.44B,Association à <em>Phymatolithon lenormandii</em> et <em>Hildenbrandia rubra</em>,10411,A1.44B-Association à <em>Phymatolithon lenormandii</em> et <em>Hildenbrandia rubra</em>
A,A1.45,Algues vertes ou rouges éphémères (soumises à l'action de l'eau douce ou du sable) sur substrat fixe,4688,A1.45-Algues vertes ou rouges éphémères (soumises à l'action de l'eau douce ou du sable) sur substrat fixe
A,A1.451,<em>Ulva</em> (anciennement <em>Enteromorpha</em>) spp. soumise à l'action de l'eau douce et/ou sur roche instable du médiolittoral supérieur,10413,A1.451-<em>Ulva</em> (anciennement <em>Enteromorpha</em>) spp. soumise à l'action de l'eau douce et/ou sur roche instable du médiolittoral supérieur
A,A1.452,<em>Porphyra purpurea</em> ou <em>Ulva</em> (anciennement <em>Enteromorpha) </em>spp. sur roche abrasée par le sable du médiolittoral moyen ou inférieur,10391,A1.452-<em>Porphyra purpurea</em> ou <em>Ulva</em> (anciennement <em>Enteromorpha) </em>spp. sur roche abrasée par le sable du médiolittoral moyen ou inférieur
A,A2,Sédiment intertidal,580,A2-Sédiment intertidal
A,A2.1,Sédiments grossiers intertidaux,1595,A2.1-Sédiments grossiers intertidaux
A,A2.11,Rivages de cailloutis mobiles et de graviers,4689,A2.11-Rivages de cailloutis mobiles et de graviers
A,A2.111,Galets et cailloutis mobiles intertidaux nus,10415,A2.111-Galets et cailloutis mobiles intertidaux nus
A,A2.112,<em>Echinogammarus planicrurus</em> dans du gravier ou du sable grossier bien trié du médiolittoral,10416,A2.112-<em>Echinogammarus planicrurus</em> dans du gravier ou du sable grossier bien trié du médiolittoral
A,A2.12,Sédiment grossier estuarien,4690,A2.12-Sédiment grossier estuarien
A,A2.13,Biocénoses méditerranéennes du détritique médiolittoral,4691,A2.13-Biocénoses méditerranéennes du détritique médiolittoral
A,A2.131,Faciès des banquettes de feuilles mortes de <em>Posidonia oceanica</em> et autres phanérogames,10417,A2.131-Faciès des banquettes de feuilles mortes de <em>Posidonia oceanica</em> et autres phanérogames
A,A2.2,Sable et sable vaseux intertidaux,1596,A2.2-Sable et sable vaseux intertidaux
A,A2.21,Laisse de mer,4692,A2.21-Laisse de mer
A,A2.211,Talitridés du haut de l'estran et laisse de mer,10419,A2.211-Talitridés du haut de l'estran et laisse de mer
A,A2.212,<em>Mytilus edulis</em> et <em>Fabricia sabella</em> dans du sédiment hétérogène intertidal,10420,A2.212-<em>Mytilus edulis</em> et <em>Fabricia sabella</em> dans du sédiment hétérogène intertidal
A,A2.22,"Estrans de sable mobile, stérile ou dominé par des amphipodes",4693,"A2.22-Estrans de sable mobile, stérile ou dominé par des amphipodes"
A,A2.221,Sable grossier stérile intertidal,10421,A2.221-Sable grossier stérile intertidal
A,A2.222,Oligochètes dans du sable mobile intertidal,10422,A2.222-Oligochètes dans du sable mobile intertidal
A,A2.2221,Oligochètes dans du sable mobile intertidal en milieu marin,17379,A2.2221-Oligochètes dans du sable mobile intertidal en milieu marin
A,A2.2222,Oligochètes dans du sable mobile intertidal en milieu à salinité variable,17380,A2.2222-Oligochètes dans du sable mobile intertidal en milieu à salinité variable
A,A2.223,Amphipodes et <em>Scolelepis</em> spp. dans du sable fin à moyen intertidal,10414,A2.223-Amphipodes et <em>Scolelepis</em> spp. dans du sable fin à moyen intertidal
A,A2.2231,<em>Scolelepis</em> spp. dans du sable mobile intertidal,17378,A2.2231-<em>Scolelepis</em> spp. dans du sable mobile intertidal
A,A2.2232,<em>Eurydice pulchra</em> dans du sable mobile intertidal,17381,A2.2232-<em>Eurydice pulchra</em> dans du sable mobile intertidal
A,A2.2233,<em>Pontocrates arenarius</em> dans du sable mobile intertidal,17382,A2.2233-<em>Pontocrates arenarius</em> dans du sable mobile intertidal
A,A2.23,Estrans de sable fin dominés par des amphipodes ou des polychètes,4697,A2.23-Estrans de sable fin dominés par des amphipodes ou des polychètes
A,A2.231,Polychètes dans du sable fin intertidal,10428,A2.231-Polychètes dans du sable fin intertidal
A,A2.2311,"Polychètes, dont <em>Paraonis fulgens</em>, dans du sable fin intertidal",17383,"A2.2311-Polychètes, dont <em>Paraonis fulgens</em>, dans du sable fin intertidal"
A,A2.2312,Polychètes et <em>Tellina tenuis</em> dans du sable fin intertidal,17384,A2.2312-Polychètes et <em>Tellina tenuis</em> dans du sable fin intertidal
A,A2.2313,Sable fin intertidal dominé par <em>Nephtys cirrosa</em>,17385,A2.2313-Sable fin intertidal dominé par <em>Nephtys cirrosa</em>
A,A2.24,Estrans de sable vaseux dominés par des polychètes ou des bivalves,4698,A2.24-Estrans de sable vaseux dominés par des polychètes ou des bivalves
A,A2.241,<em>Macoma balthica</em> et <em>Arenicola marina</em> sur les rivages de sable vaseux,10429,A2.241-<em>Macoma balthica</em> et <em>Arenicola marina</em> sur les rivages de sable vaseux
A,A2.242,<em>Cerastoderma edule</em> et polychètes dans du sable vaseux intertidal,10430,A2.242-<em>Cerastoderma edule</em> et polychètes dans du sable vaseux intertidal
A,A2.243,"<em>Hediste diversicolor</em>, <em>Macoma balthica</em> et <em>Eteone longa</em> dans du sable vaseux intertidal",10431,"A2.243-<em>Hediste diversicolor</em>, <em>Macoma balthica</em> et <em>Eteone longa</em> dans du sable vaseux intertidal"
A,A2.244,<em>Bathyporeia pilosa</em> et <em>Corophium arenarium</em> dans du sable vaseux intertidal,10423,A2.244-<em>Bathyporeia pilosa</em> et <em>Corophium arenarium</em> dans du sable vaseux intertidal
A,A2.245,<em>Lanice conchilega</em> dans du sable intertidal,10424,A2.245-<em>Lanice conchilega</em> dans du sable intertidal
A,A2.25,Biocénoses méditerranéennes et pontiques des sables médiolittoraux,4694,A2.25-Biocénoses méditerranéennes et pontiques des sables médiolittoraux
A,A2.251,Faciès à <em>Ophelia bicornis</em>,10425,A2.251-Faciès à <em>Ophelia bicornis</em>
A,A2.3,Vase intertidale,1597,A2.3-Vase intertidale
A,A2.31,Estrans vaseux de la partie moyenne des estuaires dominés par des polychètes ou des bivalves,4696,A2.31-Estrans vaseux de la partie moyenne des estuaires dominés par des polychètes ou des bivalves
A,A2.311,"<em>Nephtys hombergii</em>, <em>Macoma balthica</em> et <em>Streblospio shrubsolii</em> dans du sable vaseux intertidal",10432,"A2.311-<em>Nephtys hombergii</em>, <em>Macoma balthica</em> et <em>Streblospio shrubsolii</em> dans du sable vaseux intertidal"
A,A2.312,<em>Hediste diversicolor</em> et <em>Macoma balthica</em> dans du sable vaseux intertidal,10433,A2.312-<em>Hediste diversicolor</em> et <em>Macoma balthica</em> dans du sable vaseux intertidal
A,A2.313,"<em>Hediste diversicolor</em>, <em>Macoma balthica</em> et <em>Scrobicularia plana</em> dans du sable vaseux intertidal",10434,"A2.313-<em>Hediste diversicolor</em>, <em>Macoma balthica</em> et <em>Scrobicularia plana</em> dans du sable vaseux intertidal"
A,A2.32,Estrans vaseux en amont des estuaires dominés par des polychètes ou des oligochètes,4700,A2.32-Estrans vaseux en amont des estuaires dominés par des polychètes ou des oligochètes
A,A2.321,<em>Nephtys hombergii</em> et <em>Streblospio shrubsolii</em> dans de la vase intertidale,10435,A2.321-<em>Nephtys hombergii</em> et <em>Streblospio shrubsolii</em> dans de la vase intertidale
A,A2.322,<em>Hediste diversicolor</em> dans de la vase intertidale,10436,A2.322-<em>Hediste diversicolor</em> dans de la vase intertidale
A,A2.3221,<em>Hediste diversicolor</em> et <em>Streblospio shrubsolii</em> dans de la vase sableuse intertidale,17389,A2.3221-<em>Hediste diversicolor</em> et <em>Streblospio shrubsolii</em> dans de la vase sableuse intertidale
A,A2.3222,<em>Hediste diversicolor</em> et <em>Corophium volutator</em> dans de la vase intertidale,17390,A2.3222-<em>Hediste diversicolor</em> et <em>Corophium volutator</em> dans de la vase intertidale
A,A2.3223,<em>Hediste diversicolor</em> et oligochètes dans de la vase intertidale,17391,A2.3223-<em>Hediste diversicolor</em> et oligochètes dans de la vase intertidale
A,A2.323,<em>Tubificoides benedii</em> et autres oligochètes dans de la vase intertidale,10437,A2.323-<em>Tubificoides benedii</em> et autres oligochètes dans de la vase intertidale
