LEVEL,LB_CODE,LB_HAB_FR,CD_HAB,EUNIS
E,E1.11,Gazons eurosibériens sur débris rocheux,5065,E1.11-Gazons eurosibériens sur débris rocheux
E,E1.111,Gazons médio-européens à Orpins,11105,E1.111-Gazons médio-européens à Orpins
E,E1.112,Communautés à <em>Sempervivum</em> ou <em>Jovibarba</em> sur débris rocheux,11109,E1.112-Communautés à <em>Sempervivum</em> ou <em>Jovibarba</em> sur débris rocheux
E,E1.113,Communautés herbeuses médio-européennes sur débris rocheux,11110,E1.113-Communautés herbeuses médio-européennes sur débris rocheux
E,E1.1132,Gazons des débris rocheux à <em>Poa compressa</em>,17676,E1.1132-Gazons des débris rocheux à <em>Poa compressa</em>
E,E1.114,Communautés médio-européennes des débris rocheux à petites herbacées non-graminoïdes,11111,E1.114-Communautés médio-européennes des débris rocheux à petites herbacées non-graminoïdes
E,E1.12,Gazons pionniers eurosibériens des sables calcaires,5069,E1.12-Gazons pionniers eurosibériens des sables calcaires
E,E1.2,Pelouses calcaires vivaces et steppes riches en bases,1696,E1.2-Pelouses calcaires vivaces et steppes riches en bases
E,E1.22,Pelouses steppiques arides subcontinentales (<em>Festucion valesiacae</em>),5072,E1.22-Pelouses steppiques arides subcontinentales (<em>Festucion valesiacae</em>)
E,E1.23,Prés steppiques mésoxérophiles subcontinentales (<em>Cirsio-Brachypodion</em>),5079,E1.23-Prés steppiques mésoxérophiles subcontinentales (<em>Cirsio-Brachypodion</em>)
E,E1.24,Pelouses arides des Alpes centrales (<em>Stipo-Poion</em>),5081,E1.24-Pelouses arides des Alpes centrales (<em>Stipo-Poion</em>)
E,E1.26,Pelouses semi-sèches calcaires subatlantiques,5089,E1.26-Pelouses semi-sèches calcaires subatlantiques
E,E1.261,Pelouses calcaires semi-sèches nord-occidentales,11141,E1.261-Pelouses calcaires semi-sèches nord-occidentales
E,E1.262,Pelouses semi-sèches médio-européennes à <em>Bromus erectus</em>,11155,E1.262-Pelouses semi-sèches médio-européennes à <em>Bromus erectus</em>
E,E1.2621,<em>Mesobromion</em> mosan,17733,E1.2621-<em>Mesobromion</em> mosan
E,E1.2622,<em>Mesobromion</em> de la basse Meuse,17734,E1.2622-<em>Mesobromion</em> de la basse Meuse
E,E1.2625,<em>Mesobromion</em> crétacé du Bassin parisien,17737,E1.2625-<em>Mesobromion</em> crétacé du Bassin parisien
E,E1.2626,<em>Mesobromion</em> tertiaire parisien,17738,E1.2626-<em>Mesobromion</em> tertiaire parisien
E,E1.2627,<em>Mesobromion</em> jurassique du Bassin parisien,17742,E1.2627-<em>Mesobromion</em> jurassique du Bassin parisien
E,E1.2628,<em>Mesobromion</em> du Rhin moyen,17743,E1.2628-<em>Mesobromion</em> du Rhin moyen
E,E1.2629,<em>Mesobromion</em> du Rhin supérieur,17744,E1.2629-<em>Mesobromion</em> du Rhin supérieur
E,E1.262B,<em>Mesobromion</em> du Jura occidental,17746,E1.262B-<em>Mesobromion</em> du Jura occidental
E,E1.262E,<em>Mesobromion</em> préalpin nord-occidental,17749,E1.262E-<em>Mesobromion</em> préalpin nord-occidental
E,E1.262G,<em>Mesobromion</em> ligérien,17751,E1.262G-<em>Mesobromion</em> ligérien
E,E1.262H,<em>Mesobromion</em> aquitain,17752,E1.262H-<em>Mesobromion</em> aquitain
E,E1.262I,<em>Mesobromion</em> du Quercy,17753,E1.262I-<em>Mesobromion</em> du Quercy
E,E1.262J,<em>Mesobromion</em> des Pyrénées occidentales,17754,E1.262J-<em>Mesobromion</em> des Pyrénées occidentales
E,E1.263,Pelouses médio-européennes semi-sèches à <em>Brachypodium</em>,11075,E1.263-Pelouses médio-européennes semi-sèches à <em>Brachypodium</em>
E,E1.264,Pelouses alluviales et humides du <em>Mesobromion</em>,11084,E1.264-Pelouses alluviales et humides du <em>Mesobromion</em>
E,E1.265,Pelouses médio-européennes semi-sèches à <em>Sesleria</em>,11085,E1.265-Pelouses médio-européennes semi-sèches à <em>Sesleria</em>
E,E1.266,<em>Mesobromion</em> subméditerranéen,11094,E1.266-<em>Mesobromion</em> subméditerranéen
E,E1.27,Pelouses calcaires subatlantiques très sèches,5057,E1.27-Pelouses calcaires subatlantiques très sèches
E,E1.272,Pelouses médio-européennes du <em>Xerobromion</em>,11102,E1.272-Pelouses médio-européennes du <em>Xerobromion</em>
E,E1.2721,<em>Xerobromion</em> mosan,17657,E1.2721-<em>Xerobromion</em> mosan
E,E1.2723,<em>Xerobromion</em> crétacé du Bassin parisien,17659,E1.2723-<em>Xerobromion</em> crétacé du Bassin parisien
E,E1.2724,<em>Xerobromion</em> tertiaire parisien,17660,E1.2724-<em>Xerobromion</em> tertiaire parisien
E,E1.2725,<em>Xerobromion</em> jurassique du Bassin Parisien,17661,E1.2725-<em>Xerobromion</em> jurassique du Bassin Parisien
E,E1.2726,<em>Xerobromion</em> du Rhin moyen,17662,E1.2726-<em>Xerobromion</em> du Rhin moyen
E,E1.2727,<em>Xerobromion</em> du Rhin supérieur,17663,E1.2727-<em>Xerobromion</em> du Rhin supérieur
E,E1.2728,<em>Xerobromion</em> du Jura occidental,17664,E1.2728-<em>Xerobromion</em> du Jura occidental
E,E1.272B,<em>Xerobromion</em> du nord-ouest des Préalpes,17668,E1.272B-<em>Xerobromion</em> du nord-ouest des Préalpes
E,E1.272D,<em>Xerobromion</em> ligérien,17670,E1.272D-<em>Xerobromion</em> ligérien
E,E1.272E,<em>Xerobromion</em> aquitain,17671,E1.272E-<em>Xerobromion</em> aquitain
E,E1.272F,<em>Xerobromion</em> du Quercy,17672,E1.272F-<em>Xerobromion</em> du Quercy
E,E1.272G,<em>Xerobromion</em> pyrénéen,17673,E1.272G-<em>Xerobromion</em> pyrénéen
E,E1.272H,<em>Xerobromion</em> des Alpes sud-occidentales,17674,E1.272H-<em>Xerobromion</em> des Alpes sud-occidentales
E,E1.28,Pelouses calcaréo-siliceuses d'Europe centrale,5067,E1.28-Pelouses calcaréo-siliceuses d'Europe centrale
E,E1.281,Pelouses des rochers calcaréo-siliceux hercyniennes,11118,E1.281-Pelouses des rochers calcaréo-siliceux hercyniennes
E,E1.282,Pelouses sur sables calcaréo-siliceux d'Europe centrale,11119,E1.282-Pelouses sur sables calcaréo-siliceux d'Europe centrale
E,E1.2822,Pelouses sur sables acidoclines d'Europe centrale,17686,E1.2822-Pelouses sur sables acidoclines d'Europe centrale
E,E1.29,Pelouses à <em>Festuca pallens</em>,5080,E1.29-Pelouses à <em>Festuca pallens</em>
E,E1.292,Pelouses calciclines à Fétuque pâle,11134,E1.292-Pelouses calciclines à Fétuque pâle
E,E1.2921,Pelouses calciclines périhercyniennes à Fétuque pâle,17703,E1.2921-Pelouses calciclines périhercyniennes à Fétuque pâle
E,E1.2A,Pelouses à <em>Brachypodium phoenicoides</em>,5093,E1.2A-Pelouses à <em>Brachypodium phoenicoides</em>
E,E1.3,Pelouses xériques méditerranéennes,1695,E1.3-Pelouses xériques méditerranéennes
E,E1.31,Pelouses xériques ouest-méditerranéennes,5066,E1.31-Pelouses xériques ouest-méditerranéennes
E,E1.311,Pelouses à Brachypode rameux,11106,E1.311-Pelouses à Brachypode rameux
E,E1.312,Steppes de la Crau,11107,E1.312-Steppes de la Crau
E,E1.313,Communautés méditerranéennes annuelles des sols superficiels,11120,E1.313-Communautés méditerranéennes annuelles des sols superficiels
E,E1.3131,Communautés annuelles calciphiles ouest-méditerranéennes,17679,E1.3131-Communautés annuelles calciphiles ouest-méditerranéennes
E,E1.314,Arènes dolomitiques des Causses,11122,E1.314-Arènes dolomitiques des Causses
E,E1.4,Steppes méditerranéennes à grandes graminées et <em>Artemisia</em>,1697,E1.4-Steppes méditerranéennes à grandes graminées et <em>Artemisia</em>
E,E1.43,Steppes méditerranéennes dominées par de grandes graminées autres que <em>Stipa tenacissima</em> ou <em>Lygeum spartum</em>,5085,E1.43-Steppes méditerranéennes dominées par de grandes graminées autres que <em>Stipa tenacissima</em> ou <em>Lygeum spartum</em>
E,E1.432,Steppes méditerranéennes à Stipes,11142,E1.432-Steppes méditerranéennes à Stipes
E,E1.434,Steppes à andropogonides,11144,E1.434-Steppes à andropogonides
E,E1.4342,Steppes provençales à andropogonides,17706,E1.4342-Steppes provençales à andropogonides
E,E1.44,Steppes à Cannes,5090,E1.44-Steppes à Cannes
E,E1.5,Pelouses méditerranéo-montagnardes,1699,E1.5-Pelouses méditerranéo-montagnardes
E,E1.51,Steppes méditerranéo-montagnardes,5092,E1.51-Steppes méditerranéo-montagnardes
E,E1.511,Steppes méditerranéo-montagnardes à <em>Stipa</em>,11150,E1.511-Steppes méditerranéo-montagnardes à <em>Stipa</em>
E,E1.512,Steppes méditerranéo-montagnardes à <em>Sesleria</em>,11151,E1.512-Steppes méditerranéo-montagnardes à <em>Sesleria</em>
E,E1.513,Steppes méditerranéo-montagnardes à <em>Festuca-Koeleria</em>,11152,E1.513-Steppes méditerranéo-montagnardes à <em>Festuca-Koeleria</em>
E,E1.514,Steppes méditerranéo-montagnardes à <em>Artemisia</em>,11156,E1.514-Steppes méditerranéo-montagnardes à <em>Artemisia</em>
E,E1.52,Steppes supraméditerranéennes et prairies à <em>Aphyllanthes</em>,5096,E1.52-Steppes supraméditerranéennes et prairies à <em>Aphyllanthes</em>
E,E1.6,Pelouses à annuelles subnitrophiles,1690,E1.6-Pelouses à annuelles subnitrophiles
E,E1.61,Communautés méditerranéennes à graminées subnitrophiles,5075,E1.61-Communautés méditerranéennes à graminées subnitrophiles
E,E1.7,"Pelouses sèches, acides et neutres fermées non-méditerranéennes",1692,"E1.7-Pelouses sèches, acides et neutres fermées non-méditerranéennes"
E,E1.71,Gazons à <em>Nardus stricta</em>,5058,E1.71-Gazons à <em>Nardus stricta</em>
E,E1.712,Gazons subatlantiques à <em>Nardus</em> et <em>Galium</em>,11114,E1.712-Gazons subatlantiques à <em>Nardus</em> et <em>Galium</em>
E,E1.72,Pelouses à <em>Agrostis</em> et <em>Festuca</em>,5068,E1.72-Pelouses à <em>Agrostis</em> et <em>Festuca</em>
E,E1.721,Pelouses némorales à <em>Agrostis</em> et <em>Festuca</em>,11128,E1.721-Pelouses némorales à <em>Agrostis</em> et <em>Festuca</em>
E,E1.73,Pelouses à <em>Deschampsia flexuosa</em>,5061,E1.73-Pelouses à <em>Deschampsia flexuosa</em>
E,E1.74,Végétations à <em>Calamagrostis epigejos</em>,5062,E1.74-Végétations à <em>Calamagrostis epigejos</em>
E,E1.75,Pelouses à <em>Carex arenaria</em>,5063,E1.75-Pelouses à <em>Carex arenaria</em>
E,E1.8,"Pelouses fermées, sèches, acides et neutres méditerranéennes",1694,"E1.8-Pelouses fermées, sèches, acides et neutres méditerranéennes"
E,E1.81,Pelouses siliceuses thérophytiques méditerranéennes,5070,E1.81-Pelouses siliceuses thérophytiques méditerranéennes
E,E1.811,Pelouses siliceuses ouest-méditerranéennes,11108,E1.811-Pelouses siliceuses ouest-méditerranéennes
E,E1.83,Nardaies méditerranéo-montagnardes,5107,E1.83-Nardaies méditerranéo-montagnardes
E,E1.9,"Pelouses ouvertes, sèches, acides et neutres non-méditerranéennes, y compris les formations dunaires continentales",1702,"E1.9-Pelouses ouvertes, sèches, acides et neutres non-méditerranéennes, y compris les formations dunaires continentales"
E,E1.91,Pelouses siliceuses d'espèces annuelles naines,5112,E1.91-Pelouses siliceuses d'espèces annuelles naines
E,E1.92,Pelouses siliceuses ouvertes pérennes,5113,E1.92-Pelouses siliceuses ouvertes pérennes
E,E1.93,Pelouses à <em>Corynephorus</em>,5122,E1.93-Pelouses à <em>Corynephorus</em>
E,E1.94,Pelouses pionnières des dunes continentales,5123,E1.94-Pelouses pionnières des dunes continentales
E,E1.95,Pelouses siliceuses des dunes continentales,5124,E1.95-Pelouses siliceuses des dunes continentales
E,E1.97,Dunes fluviatiles méridionales,5126,E1.97-Dunes fluviatiles méridionales
E,E1.A,"Pelouses sèches, ouvertes, acides et neutres méditerranéennes",1705,"E1.A-Pelouses sèches, ouvertes, acides et neutres méditerranéennes"
E,E1.A1,Communautés annuelles méditerranéennes sur sables profonds,5153,E1.A1-Communautés annuelles méditerranéennes sur sables profonds
E,E1.A3,Dunes riveraines du Rhône,5155,E1.A3-Dunes riveraines du Rhône
E,E1.B,Pelouses des sols métallifères,1707,E1.B-Pelouses des sols métallifères
E,E1.B2,Pelouses calaminaires,5159,E1.B2-Pelouses calaminaires
E,E1.B23,Pelouses calaminaires occidentales à Arméria,11238,E1.B23-Pelouses calaminaires occidentales à Arméria
E,E1.B3,Pelouses métallifères d'Europe centrale,5160,E1.B3-Pelouses métallifères d'Europe centrale
E,E1.B5,Pelouses alpines des sols métallifères,5142,E1.B5-Pelouses alpines des sols métallifères
E,E1.C,Habitats méditerranéens secs à végétation herbacée non-vernale inappétente,1709,E1.C-Habitats méditerranéens secs à végétation herbacée non-vernale inappétente
E,E1.C1,Champs d'<em>Asphodelus</em>,5143,E1.C1-Champs d'<em>Asphodelus</em>
E,E1.C2,Champs de Chardons,5144,E1.C2-Champs de Chardons
E,E1.C3,Broussailles à <em>Phlomis</em>,5145,E1.C3-Broussailles à <em>Phlomis</em>
E,E1.C4,Peuplements de <em>Ferula</em>,5146,E1.C4-Peuplements de <em>Ferula</em>
E,E1.D,Pelouses xériques non exploitées,1710,E1.D-Pelouses xériques non exploitées
E,E1.E,Pelouses xériques piétinées à espèces annuelles,1746,E1.E-Pelouses xériques piétinées à espèces annuelles
E,E2,Prairies mésiques,606,E2-Prairies mésiques
E,E2.1,Pâturages permanents mésotrophes et prairies de post-pâturage,1747,E2.1-Pâturages permanents mésotrophes et prairies de post-pâturage
E,E2.11,Pâturages ininterrompus,5330,E2.11-Pâturages ininterrompus
E,E2.111,Pâturages à Ivraie vivace,11558,E2.111-Pâturages à Ivraie vivace
E,E2.112,Pâturages atlantiques à <em>Cynosurus</em> et <em>Centaurea</em>,11559,E2.112-Pâturages atlantiques à <em>Cynosurus</em> et <em>Centaurea</em>
E,E2.113,Pâturages collinéens subatlantiques,11560,E2.113-Pâturages collinéens subatlantiques
E,E2.12,Pâturages interrompus par des fossés,5332,E2.12-Pâturages interrompus par des fossés
E,E2.13,Pâturages abandonnés,5333,E2.13-Pâturages abandonnés
E,E2.14,Prairies inondables planitiaires riches en espèces,5334,E2.14-Prairies inondables planitiaires riches en espèces
E,E2.2,Prairies de fauche de basse et moyenne altitudes,1751,E2.2-Prairies de fauche de basse et moyenne altitudes
E,E2.21,Prairies de fauche atlantiques,5341,E2.21-Prairies de fauche atlantiques
E,E2.211,Prairies atlantiques à <em>Arrhenatherum</em>,11569,E2.211-Prairies atlantiques à <em>Arrhenatherum</em>
E,E2.22,Prairies de fauche planitiaires subatlantiques,5345,E2.22-Prairies de fauche planitiaires subatlantiques
E,E2.221,Prairies de fauche xéromésophiles planitiaires médio-européennes,11585,E2.221-Prairies de fauche xéromésophiles planitiaires médio-européennes
E,E2.222,Prairies de fauche hygromésophiles planitiaires médio-européennes,11592,E2.222-Prairies de fauche hygromésophiles planitiaires médio-européennes
