CD_NOM,FAMILLE,NOM_VALIDE
115349,Potamogetonaceae,Potamogeton x franconicus
115350,Potamogetonaceae,Potamogeton x gessnacensis
115352,Potamogetonaceae,Potamogeton x griffithii
115353,Potamogetonaceae,Potamogeton x grovesii
115355,Potamogetonaceae,Potamogeton x innominatus
115356,Potamogetonaceae,Potamogeton x lanceolatifolius
115357,Potamogetonaceae,Potamogeton x lanceolatus
115358,Potamogetonaceae,Potamogeton x lintonii
115360,Potamogetonaceae,Potamogeton x lundii
115361,Potamogetonaceae,Potamogeton x nericius
115362,Potamogetonaceae,Potamogeton x nerviger
115363,Potamogetonaceae,Potamogeton x nitens
115365,Potamogetonaceae,Potamogeton x olivaceus
115366,Potamogetonaceae,Potamogeton x prussicus
115367,Potamogetonaceae,Potamogeton x pseudofriesii
115368,Potamogetonaceae,Potamogeton x pusilliformis
115369,Potamogetonaceae,Potamogeton x ripensis
115308,Potamogetonaceae,Potamogeton x rivularis
115371,Potamogetonaceae,Potamogeton x salicifolius
115372,Potamogetonaceae,Potamogeton x schreberi
115374,Potamogetonaceae,Potamogeton x sparganiifolius
115376,Potamogetonaceae,Potamogeton x spathulatus
115378,Potamogetonaceae,Potamogeton x sudermannicus
115381,Potamogetonaceae,Potamogeton x undulatus
115382,Potamogetonaceae,Potamogeton x variifolius
115384,Potamogetonaceae,Potamogeton x zizii
115270,Potamogetonaceae,Potamogeton lucens
115280,Potamogetonaceae,Potamogeton natans
115282,Potamogetonaceae,Potamogeton nodosus
115286,Potamogetonaceae,Potamogeton obtusifolius
115296,Potamogetonaceae,Potamogeton perfoliatus
115301,Potamogetonaceae,Potamogeton polygonifolius
115302,Potamogetonaceae,Potamogeton praelongus
115305,Potamogetonaceae,Potamogeton pusillus
115310,Potamogetonaceae,Potamogeton rutilus
717857,Potamogetonaceae,Potamogeton schweinfurthii
115326,Potamogetonaceae,Potamogeton trichoides
715628,Potamogetonaceae,Stuckenia
717572,Potamogetonaceae,Stuckenia filiformis
719165,Potamogetonaceae,Stuckenia x suecica
717574,Potamogetonaceae,Stuckenia pectinata
199116,Potamogetonaceae,Zannichellia
130592,Potamogetonaceae,Zannichellia contorta
130598,Potamogetonaceae,Zannichellia obtusifolia
130599,Potamogetonaceae,Zannichellia palustris
130601,Potamogetonaceae,Zannichellia pedunculata
130602,Potamogetonaceae,Zannichellia peltata
197290,Ruppiaceae,Ruppia
119688,Ruppiaceae,Ruppia cirrhosa
119690,Ruppiaceae,Ruppia drepanensis
119691,Ruppiaceae,Ruppia maritima
197440,Scheuchzeriaceae,Scheuchzeria
121500,Scheuchzeriaceae,Scheuchzeria palustris
198483,Tofieldiaceae,Tofieldia
126798,Tofieldiaceae,Tofieldia calyculata
126809,Tofieldiaceae,Tofieldia x hybrida
126806,Tofieldiaceae,Tofieldia pusilla
672353,Amborellaceae,Amborella
672892,Amborellaceae,Amborella trichopoda
189149,Andreaeaceae,Andreaea
6825,Andreaeaceae,Andreaea alpestris
6824,Andreaeaceae,Andreaea alpina
6827,Andreaeaceae,Andreaea blyttii
6828,Andreaeaceae,Andreaea crassinervia
6830,Andreaeaceae,Andreaea frigida
6831,Andreaeaceae,Andreaea heinemannii
434529,Andreaeaceae,Andreaea heinemannii subsp. heinemannii
913632,Andreaeaceae,Andreaea hookeri
433966,Andreaeaceae,Andreaea mutabilis
6832,Andreaeaceae,Andreaea nivalis
6833,Andreaeaceae,Andreaea rothii
434531,Andreaeaceae,Andreaea rothii subsp. rothii
434530,Andreaeaceae,Andreaea rothii subsp. falcata
6834,Andreaeaceae,Andreaea rupestris
434533,Andreaeaceae,Andreaea rupestris var. rupestris
434532,Andreaeaceae,Andreaea rupestris var. papillosa
189240,Anthocerotaceae,Anthoceros
6809,Anthocerotaceae,Anthoceros agrestis
7990,Anthocerotaceae,Anthoceros punctatus
656503,Anthocerotaceae,Anthoceros rosulans
606843,Apiaceae,Aciphylla
610605,Apiaceae,Aciphylla aurea
610606,Apiaceae,Aciphylla colensoi
610603,Apiaceae,Aciphylla scott-thomsonii
610604,Apiaceae,Aciphylla squarrosa
194853,Apiaceae,Molopospermum
108739,Apiaceae,Molopospermum peloponnesiacum
137873,Apiaceae,Molopospermum peloponnesiacum subsp. peloponnesiacum
189048,Apiaceae,Ammi
82130,Apiaceae,Ammi majus
189163,Apiaceae,Anethum
82692,Apiaceae,Anethum graveolens
612391,Apiaceae,Anethum graveolens subsp. graveolens
189335,Apiaceae,Apium
83195,Apiaceae,Apium graveolens
192597,Apiaceae,Foeniculum
98756,Apiaceae,Foeniculum vulgare
134696,Apiaceae,Foeniculum vulgare subsp. vulgare
134694,Apiaceae,Foeniculum vulgare subsp. piperitum
195083,Apiaceae,Naufraga
109455,Apiaceae,Naufraga balearica
196015,Apiaceae,Petroselinum
112821,Apiaceae,Petroselinum crispum
612611,Apiaceae,Petroselinum crispum subsp. crispum
612612,Apiaceae,Petroselinum crispum subsp. tuberosum
197227,Apiaceae,Ridolfia
117820,Apiaceae,Ridolfia segetum
606997,Apiaceae,Stoibrax
611359,Apiaceae,Stoibrax dichotomum
198917,Apiaceae,Visnaga
129910,Apiaceae,Visnaga daucoides
190120,Apiaceae,Bupleurum
87016,Apiaceae,Bupleurum affine
87020,Apiaceae,Bupleurum alpigenum
87021,Apiaceae,Bupleurum angulosum
613472,Apiaceae,Bupleurum angulosum var. angulosum
613473,Apiaceae,Bupleurum angulosum var. alpinum
87027,Apiaceae,Bupleurum baldense
87037,Apiaceae,Bupleurum corsicum
87044,Apiaceae,Bupleurum falcatum
610522,Apiaceae,Bupleurum fruticescens
87051,Apiaceae,Bupleurum fruticosum
87053,Apiaceae,Bupleurum gerardi
160252,Apiaceae,Bupleurum gibraltarium
717109,Apiaceae,Bupleurum glumaceum
87065,Apiaceae,Bupleurum lancifolium
87068,Apiaceae,Bupleurum longifolium
132350,Apiaceae,Bupleurum longifolium subsp. longifolium
610838,Apiaceae,Bupleurum nipponicum
87074,Apiaceae,Bupleurum odontites
87082,Apiaceae,Bupleurum petraeum
87085,Apiaceae,Bupleurum praealtum
610839,Apiaceae,Bupleurum ranunculoides subsp. ranunculoides x Bupleurum ranunculoides subsp. telonense
87091,Apiaceae,Bupleurum ranunculoides
132356,Apiaceae,Bupleurum ranunculoides subsp. ranunculoides
613679,Apiaceae,Bupleurum ranunculoides var. ranunculoides
144859,Apiaceae,Bupleurum ranunculoides var. gramineum
132357,Apiaceae,Bupleurum ranunculoides subsp. telonense
87093,Apiaceae,Bupleurum rigidum
132358,Apiaceae,Bupleurum rigidum subsp. rigidum
87095,Apiaceae,Bupleurum rotundifolium
87098,Apiaceae,Bupleurum semicompositum
717110,Apiaceae,Bupleurum spinosum
87100,Apiaceae,Bupleurum stellatum
87102,Apiaceae,Bupleurum subovatum
87106,Apiaceae,Bupleurum tenuissimum
160519,Apiaceae,Bupleurum virgatum
610609,Apiaceae,Aegokeras caespitosa
188841,Apiaceae,Aegopodium
80322,Apiaceae,Aegopodium podagraria
190376,Apiaceae,Carum
89250,Apiaceae,Carum carvi
192518,Apiaceae,Falcaria
97956,Apiaceae,Falcaria vulgaris
189874,Apiaceae,Bifora
85997,Apiaceae,Bifora radians
85999,Apiaceae,Bifora testiculata
191143,Apiaceae,Coriandrum
92465,Apiaceae,Coriandrum sativum
606925,Apiaceae,Krubera
610672,Apiaceae,Krubera peregrina
715619,Apiaceae,Anisosciadium
717084,Apiaceae,Anisosciadium orientale
192037,Apiaceae,Echinophora
95697,Apiaceae,Echinophora spinosa
968098,Apiaceae,Echinophora tenuifolia
968099,Apiaceae,Echinophora tenuifolia subsp. tenuifolia
191084,Apiaceae,Conium
92237,Apiaceae,Conium maculatum
612445,Apiaceae,Conium maculatum var. maculatum
621306,Apiaceae,Conium maculatum var. viride
191153,Apiaceae,Coristospermum
92486,Apiaceae,Coristospermum ferulaceum
92487,Apiaceae,Coristospermum lucidum
133431,Apiaceae,Coristospermum lucidum subsp. lucidum
191669,Apiaceae,Dethawia
94653,Apiaceae,Dethawia splendens
133806,Apiaceae,Dethawia splendens subsp. splendens
133805,Apiaceae,Dethawia splendens subsp. cantabrica
192549,Apiaceae,Ferulago
98032,Apiaceae,Ferulago campestris
606901,Apiaceae,Gasparrinia
609224,Apiaceae,Gasparrinia peucedanoides
193706,Apiaceae,Katapsuxis
104456,Apiaceae,Katapsuxis silaifolia
193756,Apiaceae,Kundmannia
104713,Apiaceae,Kundmannia sicula
194104,Apiaceae,Levisticum
105857,Apiaceae,Levisticum officinale
715622,Apiaceae,Ligusticum
982227,Apiaceae,Ligusticum scothicum
762190,Apiaceae,Ligusticum scothicum subsp. scothicum
194689,Apiaceae,Meum
108454,Apiaceae,Meum athamanticum
194946,Apiaceae,Mutellina
610917,Apiaceae,Mutellina adonidifolia
108918,Apiaceae,Mutellina corsica
195503,Apiaceae,Opopanax
110735,Apiaceae,Opopanax chironium
195660,Apiaceae,Pachypleurum
112011,Apiaceae,Pachypleurum mutellinoides
196623,Apiaceae,Prangos
115797,Apiaceae,Prangos trifida
196923,Apiaceae,Ptychotis
116339,Apiaceae,Ptychotis saxifraga
613124,Apiaceae,Ptychotis saxifraga var. saxifraga
613585,Apiaceae,Ptychotis saxifraga var. bipinnata
197651,Apiaceae,Silaum
123367,Apiaceae,Silaum silaus
613607,Apiaceae,Silaum silaus var. silaus
613609,Apiaceae,Silaum silaus var. angustifolium
611456,Apiaceae,Silaum tenuifolium
189851,Apiaceae,Berula
85798,Apiaceae,Berula erecta
190362,Apiaceae,Caropsis
608144,Apiaceae,Caropsis verticillato-inundata
190829,Apiaceae,Cicuta
91199,Apiaceae,Cicuta virosa
193163,Apiaceae,Helosciadium
101217,Apiaceae,Helosciadium crassipes
101220,Apiaceae,Helosciadium inundatum
160950,Apiaceae,Helosciadium x moorei
101221,Apiaceae,Helosciadium nodiflorum
101223,Apiaceae,Helosciadium repens
195386,Apiaceae,Oenanthe
109861,Apiaceae,Oenanthe aquatica
109864,Apiaceae,Oenanthe crocata
109869,Apiaceae,Oenanthe fistulosa
109870,Apiaceae,Oenanthe fluviatilis
109871,Apiaceae,Oenanthe foucaudii
109874,Apiaceae,Oenanthe globulosa
611072,Apiaceae,Oenanthe javanica
109881,Apiaceae,Oenanthe lachenalii
109890,Apiaceae,Oenanthe peucedanifolia
109893,Apiaceae,Oenanthe pimpinelloides
