DUP,GROUPTAXA
298,Ophioglossaceae
299,Orchidaceae
300,Orobanchaceae
301,Orthodontiaceae
302,Orthotrichaceae
303,Osmundaceae
304,Oxalidaceae
305,Oxymitraceae
306,Paeoniaceae
307,Pallaviciniaceae
308,Pandanaceae
309,Papaveraceae
310,Paracryphiaceae
311,Passifloraceae
312,Paulowniaceae
313,Pedaliaceae
314,Pelliaceae
315,Pentaphylacaceae
316,Phellinaceae
317,Phrymaceae
318,Phyllanthaceae
319,Phymatocerotaceae
320,Phytolaccaceae
321,Picramniaceae
322,Picrodendraceae
323,Pilotrichaceae
324,Pinaceae
325,Piperaceae
326,Pittosporaceae
327,Plagiochilaceae
328,Plagiotheciaceae
329,Plantaginaceae
330,Platanaceae
331,Pleuroziaceae
332,Plumbaginaceae
333,Poaceae
334,Podocarpaceae
335,Podostemaceae
336,Polemoniaceae
337,Polygalaceae
338,Polygonaceae
339,Polypodiaceae
340,Polytrichaceae
341,Pontederiaceae
342,Porellaceae
343,Portulacaceae
344,Potamogetonaceae
345,Pottiaceae
346,Primulaceae
347,Proteaceae
348,Pseudoleskeaceae
349,Pseudoleskeellaceae
350,Pseudomoerckiaceae
351,Psilotaceae
352,Pteridaceae
353,Pterigynandraceae
354,Pterobryaceae
355,Pterobryellaceae
356,Ptilidiaceae
357,Ptychomitriaceae
358,Ptychomniaceae
359,Putranjivaceae
360,Pylaisiaceae
361,Pylaisiadelphaceae
362,Racopilaceae
363,Radulaceae
364,Ranunculaceae
365,Rapateaceae
366,Resedaceae
367,Rhabdoweisiaceae
368,Rhamnaceae
369,Rhizogoniaceae
370,Rhizophoraceae
371,Rhytidiaceae
372,Ricciaceae
373,Riellaceae
374,Rosaceae
375,Rubiaceae
376,Ruppiaceae
377,Rutaceae
378,Sabiaceae
379,Saccogynaceae
380,Saelaniaceae
381,Salicaceae
382,Salviniaceae
383,Santalaceae
384,Sapindaceae
385,Sapotaceae
386,Sarraceniaceae
387,Saururaceae
388,Saxifragaceae
389,Scapaniaceae
390,Scheuchzeriaceae
391,Schistochilaceae
392,Schistostegaceae
393,Schizaeaceae
394,Schlegeliaceae
395,Sciadopityaceae
396,Scorpidiaceae
397,Scrophulariaceae
398,Selaginellaceae
399,Seligeriaceae
400,Sematophyllaceae
401,Simaroubaceae
402,Smilacaceae
403,Solanaceae
404,Solenostomataceae
405,Southbyaceae
406,Sphaerocarpaceae
407,Sphagnaceae
408,Splachnaceae
409,Staphyleaceae
410,Stemonuraceae
411,Stereodontaceae
412,Stereophyllaceae
413,Stilbaceae
414,Strasburgeriaceae
415,Strelitziaceae
416,Styracaceae
417,Symphyodontaceae
418,Symplocaceae
419,Talinaceae
420,Tamaricaceae
421,Targioniaceae
422,Taxaceae
423,Taxiphyllaceae
424,Tectariaceae
425,Tetraphidaceae
426,Theaceae
427,Thelypteridaceae
428,Thesiaceae
429,Thismiaceae
430,Thuidiaceae
431,Thurniaceae
432,Thymelaeaceae
433,Timmiaceae
434,Timmiellaceae
435,Tofieldiaceae
436,Treubiaceae
437,Trichocoleaceae
438,Trimeniaceae
439,Tropaeolaceae
440,Typhaceae
441,Ulmaceae
442,Urticaceae
443,Verbenaceae
444,Viburnaceae
445,Violaceae
446,Viscaceae
447,Vitaceae
448,Vochysiaceae
449,Winteraceae
450,Woodsiaceae
451,Xeronemataceae
452,Xyridaceae
453,Zingiberaceae
454,Zygophyllaceae
