TRIGRAMME,NOM_VALIDE,CD_NOM
Cloabr,Closterium abruptum W. West,"73045"
Cloabrmai,"Closterium abruptum var. maius (Huber-Pestalozzi) Willi Krieg. in Rabenh., 1935","648764"
Cloace,"Closterium acerosum Ehrenberg ex Ralfs, 1848","73046"
Cloacebor,"Closterium acerosum var. borgei Krieger, 1935","648767"
Cloaceelo,Closterium acerosum var. elongatum Brebisson,"73047"
Cloacemin,Closterium acerosum var. minus Hantzsch,"73048"
Cloaci,"Closterium aciculare T.West, 1860","625893"
Cloacirob,"Closterium aciculare var. robustius Chodat, 1898","648768"
Cloacu,"Closterium acutum Bréb., 1848","73050"
Cloaculat,"Closterium acutum var. latius Grönblad, 1935","653289"
Cloaculin,"Closterium acutum var. linea (Perty) West & G.S.West, 1900","648772"
Cloacuvar,"Closterium acutum var. variabile (Lemmerm.) Willi Kreiger, 1935","625894"
Cloang,"Closterium angustatum Kütz. ex Ralfs, 1848","73051"
Cloanggra,"Closterium angustatum var. gracilius Croasdale, 1955","648773"
Cloangscu,"Closterium angustatum var. sculptum (Racib.) Ruzicka, 1977","648774"
Cloarc,Closterium archerianum Cleve,"73052"
Cloarccom,"Closterium archerianum var. compressum G.A.Klebs, 1879","648775"
Cloarcpse,"Closterium archerianum var. pseudocynthia Ruzicka, 1973","648776"
Cloatt,Closterium attenuatum Ehrenb.,"73053"
Clobai,"Closterium baillyanum (Bréb. ex Ralfs) Brébisson, 1856","73054"
Clobaialp,Closterium baillyanum var. alpinum (Viret) Gronblad,"73055"
Clobaimul,"Closterium baillyanum var. multinucleatum (Nordst.) Grönblad, 1919","648777"
Clobra,"Closterium braunii Reinsch, 1867","625895"
Clocal,Closterium calosporum Wittr.,"73056"
Clocalbra,"Closterium calosporum var. brasiliense Børgesen, 1890","648780"
Clocalmai,Closterium calosporum var. maius W. & G. s. West.,"73057"
Clocalmaj,Closterium calosporum var. major W. & G.S. West,"720962"
Clocer,Closterium ceratium Perty,"73058"
Cloclo,"Closterium closterioides (Ralfs) A.Louis & Peeters, 1967","648781"
Clocloint,"Closterium closterioides var. intermedium (J.Roy & Bisset) Ruzicka, 1973","648782"
Clocor,"Closterium cornu Ehrenberg ex Ralfs, 1848","73059"
Clocorbra,"Closterium cornu var. brasiliense Börgesen, 1891","648783"
Clocorjav,"Closterium cornu var. javanicum Gutw., 1902","792084"
Clocorups,"Closterium cornu var. upsaliense Nordst., 1889","894956"
Clocos,Closterium costatum Corda,"73060"
Clocoscur,"Closterium costatum var. curtum Bréb., 1856","648785"
Clocoswes,"Closterium costatum var. westii Cushman, 1905","648786"
Clocyn,Closterium cynthia De not.,"73061"
Clodec,"Closterium decorum Bréb., 1856","625896"
Clodel,"Closterium delpontei (Klebs) Wolle, 1885","648788"
Clodia,"Closterium dianae Ehrenberg ex Ralfs, 1848","73063"
Clodiaarc,"Closterium dianae var. arcuatum (Brebisson ex Ralfs) Rabenh., 1868","73064"
Clodiabre,"Closterium dianae var. brevius (S.P.Petkoff) Willi Krieg., 1935","648789"
Clodiacom,"Closterium dianae var. compressum Klebs, 1879","894957"
Clodiamin,"Closterium dianae var. minus Hieron., 1895","648790"
Clodiapse,"Closterium dianae var. pseudodianae (Roy) Krieg., 1935","73065"
Clodid,"Closterium didymotocum Corda ex Ralfs, 1848","73066"
Clodidbre,"Closterium didymotocum var. brebissonianum Rabenh., 1868","835278"
Clodir,"Closterium directum W.Archer, 1862","625897"
Clodirana,"Closterium directum var. anastomosum (West & G.S.West) K.Förster, 1981","884075"
Clodirrec,"Closterium directum var. recurvatum (Roll) Willi Krieger, 1935","999390"
Cloebo,"Closterium eboracense W.B.Turner in Cooke, 1887","648791"
Cloehrmal,"Closterium ehrenbergii var. malinvernianum (De Not.) Rabenh., 1868","73068"
Cloehr,Closterium ehrenbergii Menegh.,"73067"
Cloehratu,"Closterium ehrenbergii var. atumidum Gronblad, 1935","648792"
Cloexi,"Closterium exiguum West & G.S.West, 1902","648793"
Cloexi2,"Closterium exile West & G.S.West, 1905","894958"
Clofus,"Closterium fusiforme F.Gay, 1884","648794"
Clogra,"Closterium gracile Bréb. ex Ralfs, 1848","73069"
Clograten,"Closterium gracile var. tenue (Lemmerm.) West & West, 1902","73071"
Cloidi,"Closterium idiosporum West & G.S.West, 1900","627077"
Cloinc,Closterium incurvum Breb.,"73072"
Cloint,Closterium intermedium Ralfs,"73073"
Clointhib,"Closterium intermedium var. hibernicum West & G.S.West, 1894","648797"
Clojen,Closterium jenneri Ralfs,"73074"
Clojenrob,"Closterium jenneri var. robustum G.S.West, 1899","648798"
Clojoh,"Closterium johnsonii West & West, 1898","720323"
Clojun,"Closterium juncidum Ralfs, 1848","73075"
Clojunelo,"Closterium juncidum var. elongatum Roy & Bisset, 1894","73692"
Clokue,Closterium kuetzingii Breb.,"73693"
CloKütvit,"Closterium Kützingii var. vittatum Nordst., 1887","648800"
Clolan,"Closterium lanceolatum Kütz. ex Ralfs, 1848","73694"
Clolanmaj,"Closterium lanceolatum var. majus Bréb., 1856","648801"
Clolanpar,"Closterium lanceolatum var. parvum West & G.S.West, 1897","894959"
Clolat,"Closterium laterale Nordst., 1880","648802"
Clolei,Closterium leibleinii Kuetzing,"73695"
Clolim,"Closterium limneticum Lemmerm., 1899","625898"
Clolin,Closterium lineatum Ehrenb.,"73700"
Clolinelo,"Closterium lineatum var. elongatum (K.Rosa) Croasdale, 1955","648803"
Clolit,"Closterium littorale Gay, 1884","73701"
Clolitcra,"Closterium littorale var. crassum West & G.S.West, 1896","894980"
Clolun,"Closterium lunula Ehrenb.& Hemprich ex Ralfs, 1848","73702"
Clolunbic,"Closterium lunula var. biconvexum Schmidle, 1895","648805"
Clolunint,"Closterium lunula var. intermedium Gutw., 1896","999329"
Clolunmas,"Closterium lunula var. massartii (De Wild.) Willi Krieg., 1937","720035"
Clomac,Closterium macilentum Breb.,"73706"
Clomacjap,"Closterium macilentum var. japonicum (Suringar) Willi Krieg., 1935","648806"
Clomacsub,Closterium macilentum var. substriatum (Gronbl.) Krieger,"73707"
Clomal,Closterium malinvernianiforme Gronbl.,"73708"
Clomon,Closterium moniliferum (Bory.) Ehrenberg,"73709"
Clomoncon,"Closterium moniliferum var. concavum G.A.Klebs, 1879","648807"
Clomonthu,"Closterium moniliferum var. thuretii Bréb., 1856","648809"
