TRIGRAMME,NOM_VALIDE,CD_NOM
Hyadismin,"Hyalotheca dissiliens var. minor Delponte, 1876","74206"
Hyadistat,"Hyalotheca dissiliens var. tatrica Racib., 1885","650751"
Hyamuc,Hyalotheca mucosa (Mert.) Ehrenb.,"74207"
MicC.A,"Micrasterias C.Agardh ex Ralfs, 1848","194702"
Micame,Micrasterias americana (Ehrenb.) Ralfs,"74248"
Micamebol,"Micrasterias americana var. boldtii Gutw., 1890","650871"
Micamelew,"Micrasterias americana var. lewisiana West, 1890","650872"
Micapi,Micrasterias apiculata (Ehrenb.) Menegh.,"74249"
Miccom,"Micrasterias compereana J.Neustupa, J.St'astný & P.Skaloud, 2014","811563"
Miccon,"Micrasterias conferta P.M.Lundell, 1871","650873"
Miccru,"Micrasterias crux-melitensis Ralfs, 1848","74251"
Micdec,"Micrasterias decemdentata (Nägeli) W.Archer, 1861","74252"
Micden,"Micrasterias denticulata Bréb. ex Ralfs, 1848","74253"
Micdenang,"Micrasterias denticulata var. angulosa (Hantzsch) W., g. s. West","74257"
Micdenang2,"Micrasterias denticulata var. angustosinuata F.Gay, 1884","793387"
Micdenint,"Micrasterias denticulata var. intermedia Nordst., 1880","650874"
Micdep,"Micrasterias depauperata Nordst., 1870","792322"
Micdepkit,"Micrasterias depauperata var. kitchelii (F.Wolle) West & G.S.West, 1896","792323"
Micfim,"Micrasterias fimbriata Ralfs, 1848","74254"
Micfimele,"Micrasterias fimbriata f. elephantina F.Wolle, 1892","650875"
Micfimspi,Micrasterias fimbriata var. spinosa Bisset,"74258"
Micfur,"Micrasterias furcata C.Agardh ex Ralfs, 1848","650876"
Micfursim,"Micrasterias furcata var. simplex F.Wolle, 1885","650877"
Micinc,"Micrasterias incisa Ralfs, 1848","650878"
Micjen,Micrasterias jenneri Ralfs,"74255"
Mickit,"Micrasterias kitchellii F.Wolle, 1880","999262"
Micosc,Micrasterias oscitans Ralfs,"74256"
Micoscmuc,Micrasterias oscitans var. mucronata (Dixon) Rabenh.,"74259"
Micpap,"Micrasterias papillifera Bréb. ex Ralfs, 1848","74260"
Micpapgla,"Micrasterias papillifera var. glabra Nordst., 1882","650879"
Micpappse,"Micrasterias papillifera var. pseudomurrayi L.J.Laporte, 1931","650880"
Micpapspe,"Micrasterias papillifera var. speciosa (F.Wolle) Willi Krieg., 1939","650881"
Micpin,"Micrasterias pinnatifida Ralfs, 1848","627063"
Micpinpse,"Micrasterias pinnatifida var. pseudoscitans R.L.Grönblad, 1920","650882"
Micpintri,"Micrasterias pinnatifida var. tridentata Willi Krieg., 1939","650883"
Micrad,"Micrasterias radians W.B.Turner, 1893","74261"
Micradbog,"Micrasterias radians var. bogoriensis (C.J.Bernard) Willi Krieg., 1939","650884"
Micrad2,"Micrasterias radiosa Ralfs, 1848","650885"
Micradele,"Micrasterias radiosa var. elegantior (G.S.West) H.T.Croasdale, 1977","650886"
Micradmur,"Micrasterias radiosa var. murrayi (West & G.S.West) Croasdale, 1977","792324"
Microt,"Micrasterias rotata Ralfs, 1848","74263"
Mictho,"Micrasterias thomasiana W.Archer, 1862","74266"
Micthonot,Micrasterias thomasiana var. notata (Nordst.) Gronbl,"74267"
Micthotor,"Micrasterias thomasiana var. torneensis Willi Krieg., 1939","650889"
Mictru,"Micrasterias truncata Bréb. ex Ralfs, 1848","74268"
Mictrugra,"Micrasterias truncata f. granulata Racib., 1889","811630"
Mictrubah,"Micrasterias truncata var. bahusiensis Wittrock, 1869","650890"
Mictrucre,"Micrasterias truncata var. crenata (Ralfs) Gronblad, 1808","650891"
Mictruqua,"Micrasterias truncata var. quadrata C.O.Bulnhein, 1859","650892"
Mictrusem,"Micrasterias truncata var. semiradiata (Kütz.) Wolle, 1884","650893"
Oct(Ha,"Octacanthium (Hansg.) P.Compère, 1996","652315"
Octbif,"Octacanthium bifidum (Bréb.) Compère, 1996","652316"
Octbiflat,"Octacanthium bifidum var. latidivergens (West) Petlovany in Petlovany & Tsarenko, 2015","811565"
Octoct,"Octacanthium octocorne (Ralfs) Compère, 1996","652325"
OocNäg,"Oocardium Nägeli, 1849","651089"
Oocstr,"Oocardium stratum Nägeli, 1849","651090"
PleNäg,"Pleurotaenium Nägeli, 1849","196442"
Plebac,"Pleurotaenium baculoides (J.Roy & Bisset) Playfair, 1907","792352"
Plecla,"Pleurotaenium clavatum (Kütz.) de Bary, 1858","651141"
Plecor,"Pleurotaenium coronatum (Bréb. ex Ralfs) Rabenh., 1868","74509"
Plecorflu,"Pleurotaenium coronatum var. fluctuatum West & G.S.West, 1892","651143"
Plecre,"Pleurotaenium crenulatum (Ehrenb. ex Ralfs) Rabenh., 1868","651144"
Pleehr,"Pleurotaenium ehrenbergii (Ralfs) Delponte, 1877","74511"
Pleehrelo,Pleurotaenium ehrenbergii var. elongatum (West) West,"74514"
Pleehrund,"Pleurotaenium ehrenbergii var. undulatum Schaarschmidt, 1883","651145"
Pleeug,"Pleurotaenium eugeneum (W.B.Turner) West & G.S.West, 1904","651147"
Pleexc,Pleurotaenium excelsum (W.B.Turner) Gutw.,"792355"
Pleexcbor,"Pleurotaenium excelsum var. borgei (West & G.S.West) T.Bando, 1988","792356"
Plemax,Pleurotaenium maximum (Reinsch) Lundell,"74512"
Pleminlat,"Pleurotaenium minutum var. latum Kaiser, 1931","651148"
Plenod,"Pleurotaenium nodosum (Bailey ex Ralfs) Lundell, 1871","651150"
Pletra,"Pleurotaenium trabecula Nägeli, 1849","74516"
Pletracra,"Pleurotaenium trabecula var. crassum Wittrock, 1872","651151"
Pletrahir,"Pleurotaenium trabecula var. hirsutum (Bailey) Willi Krieg., 1937","792357"
Pletrarec,"Pleurotaenium trabecula var. rectissimum West & G.S.West, 1904","651152"
Pletrarob,"Pleurotaenium trabecula var. robustum Hustedt, 1911","651153"
Pletru,"Pleurotaenium truncatum (Bréb. ex Ralfs) Nägeli, 1849","627027"
Pletrufar,"Pleurotaenium truncatum var. farquharsonii (Roy) West & G.S.West, 1904","651154"
RoyWes,"Roya West & G.S.West, 1896","197278"
Royang,"Roya anglica G.S.West, 1920","627113"
Royobt,"Roya obtusa (Bréb.) West & G.S.West, 1896","74589"
SphCor,"Sphaerozosma Corda ex Ralfs, 1848","197823"
Sphaub,"Sphaerozosma aubertianum Wm.West, 1889","651281"
Sphfil,"Sphaerozosma filiforme Ralfs, 1848","74879"
Sphlae,"Sphaerozosma laeve (Nordst.) Thomasson, 1957","74881"
Sphlaelat,"Sphaerozosma laeve var. latum (West & G.S.West) Kurt Först., 1973","651285"
Sphlaemic,Sphaerozosma laeve var. micracanthum Nordst.,"74882"
Sphsto,"Sphaerozosma stomatomorphum (Kütz.) Rabenh., 1868","999115"
Sphver,"Sphaerozosma vertebratum Bréb. ex Ralfs, 1848","627028"
Sphverlat,"Sphaerozosma vertebratum var. latius West & G.S.West, 1897","651287"
SpiG.W,"Spinocosmarium G.W.Prescott & A.M.Scott, 1942","651289"
Spiqua,"Spinocosmarium quadridens (H.C.Wood) Prescott & A.M.Scott, 1942","651290"
SpoBré,"Spondylosium Bréb. ex Kütz., 1849","197879"
Spodep,"Spondylosium depressum Brebisson, 1849","651305"
Spoell,Spondylosium ellipticum W. & G. -s. West,"75212"
Spolue,"Spondylosium luetkemulleri Grönblad, 1938","75211"
Spopan,"Spondylosium panduriforme (Heimerl) Teiling, 1957","651313"
Spopap,"Spondylosium papillosum West & G.S.West, 1895","627029"
Spopla,"Spondylosium planum (Wolle) West & G.S.West, 1912","73131"
Spoplabou,"Spondylosium planum var. bourrellyi Capdev., 1979","651306"
Spopul,"Spondylosium pulchellum (W.Archer) W.Archer, 1861","75213"
Spopulbam,"Spondylosium pulchellum var. bambusinoides (Wittrock) Lundell, 1871","651307"
Spopulpul,"Spondylosium pulchellum var. pulchellum (W.Archer) W.Archer, 1861","701843"
Spopulmin,Spondylosium pulchellum f. minus F.Gay,"651309"
Spopyg,"Spondylosium pygmaeum Cooke, 1880","627099"
Sposec,"Spondylosium secedens (de Bary) W.Archer, 1861","627031"
Spotet,"Spondylosium tetragonum West & G.S.West, 1892","651310"
StaMey,"Staurastrum Meyen ex Ralfs, 1848","197913"
Staaca,"Staurastrum acarides Nordst., 1872","651337"
Staacu,"Staurastrum aculeatum Menegh. ex Ralfs, 1848","651340"
Staacuaqu,"Staurastrum aculeatum var. aquitanicum Capdev., 1979","651341"
Staacu2,"Staurastrum acutum Bréb., 1856","693485"
Staaff,"Staurastrum affine West & G.S.West, 1905","651342"
Staaff2,Staurastrum affiniforme Gronblad,"74918"
Staana,"Staurastrum anatinum Cooke & Wills, 1881","74920"
Staanabir,"Staurastrum anatinum subsp. biradiatum West, 1892","651343"
Staanacur,"Staurastrum anatinum var. curtum G.M.Smith, 1922","651345"
Staanagra,"Staurastrum anatinum var. grande West & G.S.West, 1902","651346"
Staanalag,"Staurastrum anatinum var. lagerheimii (Schmidle) West & G.S.West, 1909","651347"
Staanalon,"Staurastrum anatinum var. longibrachiatum West & G.S.West, 1905","651349"
Staanarob,"Staurastrum anatinum var. robustum Capdev., 1979","651351"
Staanasub,"Staurastrum anatinum var. subfloriferum K.Thomasson, 1963","651353"
Staang,"Staurastrum angulatum West, 1889","835267"
Staangpla,"Staurastrum angulatum var. planctonicum West & G.S.West, 1903","687761"
Staara,"Staurastrum arachne Ralfs ex Ralfs, 1848","74923"
Staarabas,"Staurastrum arachne var. basiornatum P.Capdev. & A.Couté, 1981","651356"
Staarc,"Staurastrum arctiscon (Ehrenb. ex Ralfs) P.Lundell, 1871","74924"
Staarc2,"Staurastrum arcuatum Nordst., 1873","627065"
Staarcsub,"Staurastrum arcuatum var. subavicula (West) Coesel & Meesters, 2013","898134"
Staarn,"Staurastrum arnellii Boldt, 1885","811571"
Staarnspi,"Staurastrum arnellii var. spiniferum West & G.S.West, 1902","811575"
Staasp,Staurastrum asperum Breb.,"74925"
Staast,"Staurastrum asteroideum West & G.S.West, 1896","835300"
Staastnan,"Staurastrum asteroideum var. nanum (Wille) Grönblad, 1948","835306"
Staave,"Staurastrum aversum P.Lundell, 1871","687762"
Staavi,"Staurastrum avicula Bréb., 1848","74926"
Staavilun,"Staurastrum avicula var. lunatum (Ralfs) Coesel & Meesters, 2013","835312"
Staavisub,Staurastrum avicula var. subarcuatum (Wolle) W. West,"74949"
Stabac,"Staurastrum bacillare Bréb. ex Ralfs, 1848","651359"
Stabacobe,"Staurastrum bacillare var. obesum P.Lundell, 1871","651360"
Stabie,Staurastrum bieneanum Rabenh.,"74928"
Stabif,"Staurastrum bifidum Bréb. in Ralfs, 1848","651361"
Stablo,"Staurastrum bloklandiae Coesel & Joosten, 1996","651362"
Staboh,"Staurastrum bohlinianum Schmidle, 1898","720030"
Stabor,"Staurastrum boreale West & G.S.West, 1905","627066"
Staborrob,"Staurastrum boreale var. robustum E.Messikommer, 1951","651363"
Stabor2,"Staurastrum borgeanum Schmidle, 1898","850371"
Stabormin,"Staurastrum borgeanum f. minus Schmidle, 1898","850372"
Stabot,"Staurastrum botrophilum Wolle, 1881","719927"
Stabra,"Staurastrum brachiatum Ralfs ex Ralfs, 1848","74929"
Stabra2,"Staurastrum brasiliense Nordst., 1870","74930"
Stabralun,"Staurastrum brasiliense var. lundellii West & G.S.West, 1896","651367"
Stabrebre,"Staurastrum brebissonii var. brevispinum West, 1892","651369"
Stabre,"Staurastrum breviaculeatum G.M.Smith, 1924","651371"
Stabre2,"Staurastrum brevispina Bréb., 1848","792473"
Stabrerev,"Staurastrum brevispina var. reversa Virieux, 1914","792474"
Stabul,"Staurastrum bulbosum (West) Coesel, 1996","653303"
Stabulcya,"Staurastrum bulbosum var. cyanthiforme (West & G.S.West) Coesel & Meesters, 2013","834932"
Stabul2,"Staurastrum bullardii G.M.Smith, 1924","651372"
Stacap,Staurastrum capitulum Breb.,"74933"
Stacer,"Staurastrum cerastes P.Lundell, 1871","651373"
Stacha,Staurastrum chaetoceras (Schr.) G. m. Smith,"74934"
Stacin,"Staurastrum cingulum (West & G.S.West) G.M.Smith, 1922","625863"
Stacinobe,"Staurastrum cingulum var. obesum G.M.Smith, 1922","653712"
Stacle,"Staurastrum clevei (Wittrock) J.Roy, 1893","627067"
Stacoa,"Staurastrum coarctatum Bréb., 1856","625864"
Stacoasub,"Staurastrum coarctatum var. subcurtum Nordst., 1887","651375"
Staconsem,"Staurastrum controversum var. semivestitum (West) Coesel, 2007","651377"
Stacon,"Staurastrum controversum Bréb. in Ralfs, 1848","651376"
Stacor,"Staurastrum cordatum F.Gay, 1884","651378"
Stacor2,"Staurastrum coronulatum F.Wolle, 1884","651379"
Stacre,"Staurastrum crenulatum (Nägeli) Delponte, 1877","74936"
Stacrebri,"Staurastrum crenulatum var. britannicum E.Messikommer, 1927","651385"
Stacrecon,"Staurastrum crenulatum var. continentale Messikommer, 1927","651386"
Stacri,"Staurastrum cristatum (Nägeli) W.Archer, 1861","74937"
Stacrirei,"Staurastrum cristatum f. reinschii Istv., 1887","850727"
Stacum,"Staurastrum cumbricum West, 1890","651389"
Stacyc,"Staurastrum cyclacanthum West & G.S.West, 1902","651391"
Stacycafr,"Staurastrum cyclacanthum var. africanum Croasdale, 1971","651392"
Stacycsub,"Staurastrum cyclacanthum var. subacanthum Grönblad in Grönblad, 1962","651393"
Stacyr,"Staurastrum cyrtocerum Bréb., 1848","625865"
Stacyrbra,"Staurastrum cyrtocerum var. brachycerum (Bréb.) Coesel & Meesters, 2013","835292"
Stacyrcom,"Staurastrum cyrtocerum var. compactum West & G.S.West, 1905","651394"
Stadejeym,Staurastrum dejectum var. eymei Capdev.,"651395"
Staden,"Staurastrum denticulatum (Nägeli) W.Archer, 1861","625867"
Stadep,"Staurastrum depressus (Wo?osz.) Coesel & Meesters, 2013","999135"
Stadil,"Staurastrum dilatatum Ehrenb. ex Ralfs, 1848","74942"
Stadilhib,"Staurastrum dilatatum var. hibernicum (West & G.S.West) West & G.S.West, 1912","651396"
Stadip,"Staurastrum diplacanthum De Not., 1867","651401"
Stadipang,"Staurastrum diplacanthum var. anglicum W.B.Turner, 1893","651402"
Stadis,"Staurastrum dispar Bréb., 1856","651403"
Stadis2,"Staurastrum disputatum West & G.S.West, 1912","651404"
Stadisext,"Staurastrum disputatum var. extensum (Borge) West & G.S.West, 1912","651405"
Stadup,"Staurastrum duplex F.Wolle, 1883","651406"
Staech,Staurastrum echinatum Breb.,"74944"
Staell,"Staurastrum ellipticum West, 1892","651407"
Staera,"Staurastrum erasum Bréb., 1856","625869"
Staeracor,"Staurastrum erasum var. corsicum Hub.-Pest., 1928","999127"
Staexc,"Staurastrum excavatum West & G.S.West, 1895","74945"
Staexcpla,"Staurastrum excavatum var. planctonicum Willi Krieg., 1932","651408"
Staext,"Staurastrum extensum (Nordst.) Coesel & Meesters, 2013","895171"
Staflo,"Staurastrum floriferum West & G.S.West, 1896","651409"
Stafor,"Staurastrum forficulatum P.Lundell, 1871","74946"
Staforgra,"Staurastrum forficulatum var. granulato-furcigerum G.E.Huber-Pestalozzi, 1928","651412"
Staforsub,"Staurastrum forficulatum var. subsenarium (West & G.S.West) Coesel & Meesters, 2013","895173"
Staforver,"Staurastrum forficulatum var. verrucosum R.L.Grönblad, 1920","651413"
Stafur,"Staurastrum furcatum Bréb., 1856","74957"
Stafuraci,"Staurastrum furcatum var. aciculiferum (West) Coesel, 1996","651338"
Stafurcan,"Staurastrum furcatum var. candianum Delponte, 1873","651415"
Stafurpis,"Staurastrum furcatum var. pisciforme W.B.Turner, 1939","651416"
Stafurvan,Staurastrum furcatum var. vanoisii Baier,"651417"
Stafur2,"Staurastrum furcigerum (Bréb.) W.Archer, 1861","74958"
Stafurfur,"Staurastrum furcigerum var. furcigerum (Bréb.) W.Archer, 1861","670574"
Stafurarm,"Staurastrum furcigerum f. armigerum Nordst., 1888","670616"
Stafureus,"Staurastrum furcigerum f. eustephanum Nordst., 1888","651425"
Stagat,"Staurastrum gatniense West & G.S.West, 1902","651426"
Stagem,Staurastrum gemelliparum Nordst.,"74959"
Stagem2,"Staurastrum geminatum Nordst., 1873","651427"
Staglaorn,"Staurastrum gladiosum f. ornatum L.J.Laporte, 1931","651429"
Stagladel,"Staurastrum gladiosum var. delicatulum West & G.S.West, 1900","651430"
Staglo,"Staurastrum globulatum Bréb., 1948","651431"
Stagra,"Staurastrum gracile Ralfs ex Ralfs, 1848","74962"
Stagracor,"Staurastrum gracile var. coronulatum Boldt, 1885","651433"
Stagra2,"Staurastrum grallatorium Nordst., 1870","651435"
Stagra3,"Staurastrum grande Bulnh., 1861","651437"
Stagrapar,"Staurastrum grande var. parvum West & G.S.West, 1894","651438"
Stagra4,"Staurastrum granulosum Ralfs, 1848","627081"
Stagracon,"Staurastrum granulosum f. connexum West & G.S.West, 1848","651439"
Stahaa,"Staurastrum haaboeliense Wille, 1880","651443"
Stahan,"Staurastrum hantzschii Reinsch, 1867","651444"
Stahei,"Staurastrum heimerlianum Lütkem., 1893","651445"
Stahex,"Staurastrum hexacerum Ehrenb. ex Wittrock, 1872","74963"
Stahexcon,"Staurastrum hexacerum var. convergens T.Hinode, 1971","651447"
Stahexpro,Staurastrum hexacerum var. productum Hodgetts,"651448"
Stahib,"Staurastrum hibernicum West, 1892","895176"
Stahir,"Staurastrum hirsutum Ehrenberg ex Ralfs, 1848","74964"
Stahirmur,"Staurastrum hirsutum var. muricatum (Bréb. ex Ralfs) Kurt Förster, 1970","670566"
Stahys,"Staurastrum hystrix Ralfs, 1848","651449"
Stainc,"Staurastrum inconspicuum Nordst., 1873","74965"
Stainccra,"Staurastrum inconspicuum var. crassum F.Gay, 1884","651450"
Stainf,Staurastrum inflexum Breb.,"74966"
Stains,"Staurastrum insigne P.Lundell, 1871","679251"
Staiot,"Staurastrum iotanum Wolle, 1884","651451"
Stajav,"Staurastrum javanicum (Nordst.) W.B.Turner, 1893","651459"
Stajoh,"Staurastrum johnsonii West & G.S.West, 1896","625871"
Stajohann,"Staurastrum johnsonii f. annulatum P.Capdev., 1985","651461"
Stajohalt,"Staurastrum johnsonii var. altius F.E.Fritsch & M.F.Rich, 1937","651460"
Stajohdep,"Staurastrum johnsonii var. depauperatum G.M.Smith, 1924","651462"
Stajohtri,"Staurastrum johnsonii var. triradiatum G.M.Smith, 1924","651463"
Stakai,"Staurastrum kaiseri Ruicka, 1972","651465"
Stakou,"Staurastrum kouwetsii P.F.M.Coesel, 1996","651466"
Stalae,Staurastrum laeve Ralfs,"74967"
Stalae2,"Staurastrum laevispinum Bisset, 1884","835287"
Stalaecom,"Staurastrum laevispinum var. compactum (Grönblad) Coesel & Meesters, 2013","835289"
Stalan,"Staurastrum lanceolatum W.Archer, 1862","835272"
Stalap,"Staurastrum lapponicum (Schmidle) Grönblad, 1926","651467"
Stalep,"Staurastrum leptocladum Nordst., 1870","74968"
Stalepcor,"Staurastrum leptocladum var. cornutum Wille, 1884","651469"
Stalepins,"Staurastrum leptocladum var. insigne West & G.S.West, 1896","651470"
Stalon,"Staurastrum longipes (Nordst.) Teiling, 1946","625873"
Stalonmai,Staurastrum longipes f. maius West,"651471"
Stalon2,"Staurastrum longiradiatum West & G.S.West, 1896","625887"
Stalon3,"Staurastrum longispinum (Bailey) W.Archer, 1861","651472"
Stalonbid,"Staurastrum longispinum var. bidentatum (Wittrock) Cushman, 1905","651473"
Stalunlun,"Staurastrum lunatum var. lunatum Ralfs, 1848","720978"
Stalunpla,"Staurastrum lunatum var. planctonicum West & G.S.West, 1903","651475"
Stalut,"Staurastrum luteolum Lagerh., 1886","651476"
Staman,"Staurastrum manfeldtii Delponte, 1878","625879"
Stamanpro,"Staurastrum manfeldtii var. productum (West & G.S.West) Coesel & Meesters, 2013","835319"
Stamanpse,"Staurastrum manfeldtii var. pseudosebaldi (Wille) Coesel & Meesters, 2013","835240"
Stamanspl,"Staurastrum manfeldtii var. splendidum (Messikommer) Coesel, 1996","653300"
Stamar,"Staurastrum margaritaceum Menegh. ex Ralfs, 1848","74970"
Stamarrob,"Staurastrum margaritaceum var. robustum West & G.S.West, 1897","651991"
Stamartri,Staurastrum margaritaceum var. trigonum Manguin,"74972"
Stameg,"Staurastrum megalonotum Nordst., 1875","651992"
Stamer,"Staurastrum meriani Reinsch, 1866","74973"
Stamespla,Staurastrum messikommeri f. plancticum Thomasson,"653302"
Stamic,"Staurastrum micron West & G.S.West, 1896","625888"
Stamie,"Staurastrum miedzyrczecense (B.Eicher) Coesel & Meesters, 2013","884110"
Stamin,"Staurastrum minutissimum Averswald, 1866","697346"
Stamon,"Staurastrum monticulosum Bréb., 1848","74976"
Stamongro,"Staurastrum monticulosum var. groenlandicum Grönblad, 1920","651995"
Stamurden,"Staurastrum muricatum var. denudatum Bréb., 1856","651997"
Stamut,Staurastrum muticum Breb.,"74978"
Stanan,"Staurastrum nanum F.Wolle, 1884","651998"
Staoli,"Staurastrum oligacanthum Bréb. ex W.Archer, 1866","651999"
Staoliinc,"Staurastrum oligacanthum var. incisum West, 1892","652000"
Staolievo,"Staurastrum oligacanthum f. evoluta L.J.Laporte, 1931","652001"
Staorb,"Staurastrum orbiculare Menegh. ex Ralfs, 1848","74979"
Staorbdep,Staurastrum orbiculare var. depressum Roy & Biss.,"74980"
Staorn,"Staurastrum ornatum (Boldt) W.B.Turner, 1892","652005"
Staornasp,"Staurastrum ornatum var. asperum (Perty) Schmidle, 1896","652006"
Staornmor,"Staurastrum ornatum var. morzinense L.J.Laporte, 1931","652007"
Staoxy,"Staurastrum oxyacanthum W.Archer, 1860","74982"
Staoxypol,"Staurastrum oxyacanthum var. polyacanthum Nordst., 1885","652008"
Stapac,"Staurastrum pachyrhynchum Nordst., 1875","697350"
Stapar,Staurastrum paradoxum Meyen,"74984"
Staparpar,"Staurastrum paradoxum var. parvum (West) N.Carter, 1923","74985"
Stapau,Staurastrum paucidentatum Lemaire,"652009"
Stapen,"Staurastrum pentacerum (F.Wolle) G.M.Smith, 1922","652010"
Stapen2,"Staurastrum pentasterias Grönblad, 1963","652011"
Staper,Staurastrum perinii Auclair,"652012"
Stapil,Staurastrum pileolatum Breb.,"74986"
Stapil2,"Staurastrum pilosum Bréb., 1856","835297"
Stapil3,"Staurastrum pilosum (Nägeli) W.Archer, 1861","652013"
Stapin,Staurastrum pingue Teiling,"74987"
Stapin2,"Staurastrum pinnatum W.B.Turner, 1893","720031"
Stapinhyd,"Staurastrum pinnatum var. hydra Krieger, 1932","720032"
Stapla,Staurastrum planctonicum Turn.,"74988"
Staplabul,Staurastrum planctonicum var. bullosum Teiling,"74989"
Stapod,"Staurastrum podlachicum B.Eichler & Gutw., 1894","670150"
Stapol,"Staurastrum polymorphum Bréb., 1848","74990"
Stapolbor,"Staurastrum polymorphum var. bornensis P.Capdev., 1979","652059"
Stapoldiv,"Staurastrum polymorphum var. divergens Nygaard, 1950","652060"
Stapolmun,"Staurastrum polymorphum var. munitum West, 1892","652061"
Stapolpus,Staurastrum polymorphum var. pusillum West,"74991"
Stapolsim,"Staurastrum polymorphum var. simplex West & G.S.West, 1905","652063"
Stapol2,"Staurastrum polytrichum (Perty) Rabenh., 1868","74992"
Stapro,"Staurastrum proboscideum (Bréb.) W.Archer, 1861","74993"
Stapro2,"Staurastrum protectum West & G.S.West, 1908","652066"
Stapse,Staurastrum pseudopelagicum West & G.S.West,"74994"
Stapse2,"Staurastrum pseudopisciforme B.Eichler & R.Gutw., 1894","652067"
Stapsebas,"Staurastrum pseudosebaldi var. basidenticulatum T.Hinode, 1965","652069"
Stapseelo,"Staurastrum pseudosebaldi var. elongatum Messikommer, 1957","652070"
Stapsesim,"Staurastrum pseudosebaldi var. simplicius West, 1892","652071"
Stapse3,"Staurastrum pseudotetracerum (Nordst.) West & G.S.West, 1895","627101"
Stapsecur,"Staurastrum pseudotetracerum var. curvatum R.L.Grönblad, 1948","652072"
Stapun,"Staurastrum punctulatum Bréb., 1848","74995"
Stapuncra,"Staurastrum punctulatum f. crassum F.Gay, 1892","652073"
Stapunpyg,"Staurastrum punctulatum var. pygmaeum (Bréb. ex Ralfs) West & G.S.West, 1912","74996"
Stapunsub,"Staurastrum punctulatum var. subproductum West & G.S.West, 1912","652074"
Stapun2,"Staurastrum pungens Bréb. in Ralfs, 1848","652075"
Stapyr,"Staurastrum pyramidatum West, 1892","652087"
Stapyrcoi,"Staurastrum pyramidatum var. coilon West & G.S.West, 1894","652088"
Staqua,"Staurastrum quadrangulare Bréb., 1848","74999"
Staquacon,"Staurastrum quadrangulare var. contectum (W.B.Turner) Grönblad, 1945","652089"
Staquapro,"Staurastrum quadrangulare var. prolificum H.T.Croasdale, 1965","652090"
Staral,"Staurastrum ralfsii (West & G.S.West) Coesel & Meesters, 2013","895178"
Staret,"Staurastrum retusum W.B.Turner, 1893","652092"
Staretbor,"Staurastrum retusum var. boreale West & G.S.West, 1905","795811"
Starey,"Staurastrum reynouardii F.Auclair, 1910","652093"
Starik,"Staurastrum riklii G.E.Huber-Pestalozzi, 1928","652094"
Starug,"Staurastrum rugulosum Bréb. ex Ralfs, 1848","652095"
Staruz,"Staurastrum ruzickae Kouwets, 1991","652097"
Stasal,"Staurastrum saltans Joshua, 1882","652099"
Stasax,Staurastrum saxonicum Bulnh.,"75000"
Stasca,"Staurastrum scabrum Bréb. in Ralfs, 1848","652101"
Staseb,"Staurastrum sebaldi Reinsch, 1866","75001"
Stasebqua,"Staurastrum sebaldi f. quadribrachiatum Bourr., 1978","653305"
Stasebcor,"Staurastrum sebaldi var. corpulentum A.M.Scott & R.L.Grönblad, 1957","652103"
Staseborn,Staurastrum sebaldi var. ornatum Reinsch.,"75003"
Staseb2,"Staurastrum sebaldii Reinsch, 1866","933526"
Stasen,"Staurastrum senarium Ralfs, 1848","75004"
Stasen2,"Staurastrum senticosum G.B.Delponte, 1878","652105"
Staset,"Staurastrum setigerum Cleve, 1864","625889"
Stasex,"Staurastrum sexangulare (Bulnh.) Rabenh., 1863","652106"
Stasex2,"Staurastrum sexcostatum Bréb. ex Ralfs, 1848","75005"
Stasim,"Staurastrum simonyi Heimerl, 1891","75007"
Stasimele,"Staurastrum simonyi var. elegantius R.L.Grönblad, 1920","652107"
Stasmi,"Staurastrum smithii Teiling, 1946","625891"
Staspe,"Staurastrum spetsbergense (Nordst.) Coesel & Meesters, 2013","792475"
Staspi,"Staurastrum spiculosum (G.M.Smith) A.M.Scott & R.L.Grönblad, 1957","652108"
Staspo,"Staurastrum spongiosum Bréb. ex Ralfs, 1848","75008"
Staspoper,"Staurastrum spongiosum var. perbifidum West, 1892","652109"
Stastr,"Staurastrum striatum (West & G.S.West) Ruzicka, 1957","652111"
Stastr2,Staurastrum striolatum (Nag.) Arch.,"75009"
Stasublux,"Staurastrum subavicula var. luxurians (Lütkem.) Bourr., 1987","720033"
Stasub,"Staurastrum subbrebissonii Schmidle, 1894","652112"
Stasub2,"Staurastrum subcruciatum Cooke & Wills, 1887","625892"
Stasub3,"Staurastrum subnudibrachiatum West & G.S.West, 1905","652113"
Stasubinc,"Staurastrum subnudibrachiatum var. incisum G.M.Smith, 1924","652114"
Stasub4,"Staurastrum suborbiculare West & G.S.West, 1896","652115"
Stasub5,"Staurastrum subpunctulatum F.Gay, 1884","795812"
Stasub6,"Staurastrum subpygmaeum West, 1892","792482"
Stasubsub,"Staurastrum subpygmaeum var. subangulatum West & G.S.West, 1912","792483"
Stasuc,"Staurastrum suchlandtianum Messik., 1942","895181"
Statec,"Staurastrum tectum O.F.Borge, 1925","999133"
Statecaya,"Staurastrum tectum var. ayayense Grönblad, 1945","999134"
Statel,"Staurastrum teliferum Ralfs, 1848","75010"
Statelobt,"Staurastrum teliferum f. obtusum West, 1892","652117"
Statelgla,"Staurastrum teliferum var. gladiosum (W.B.Turner) Coesel & Meesters, 2013","835220"
